sample_id,row_id,uid,type,premise,hypothesis
1,1,test_type1_again_1513,type1_again,"If the president shaped a strategy, they'll never shape a strategy again.",The president shaped a strategy again.
1,2,test_type3_again_1813,type3_again,"If the man ever celebrated a holiday, he didn't celebrate Christmas again.",The man celebrated Christmas again.
1,3,test_type3_possessive_1927,type3_possessive,"If Gina has handmade rugs, she will display her Turkish kilim in the living room.",Gina did not display her Turkish kilim in the living room.
1,4,test_type2_again_1676,type2_again,"If Benjamin toasts this celebration for his wife, he'll never toast a celebration for his wife again.",Benjamin toasted this celebration for his wife again.
1,5,test_type2_possessive_1083,type2_possessive,"Is it true that if Alice has a diligent grandson, she smokes with her grandson?",Alice has a grandson.
1,6,test_type3_possessive_1362,type3_possessive,"Sam believes that if Todd has shoes, he'll wear his heels to the formal event.",Todd has heels.
1,7,test_type4_possessive_1420,type4_possessive,"Sam believes that if Heidi has a frog, I wonder how high Heidi's frog jumps.",Heidi has a frog.
1,8,test_type3_possessive_1886,type3_possessive,"If Angela has spices, she'll use her box of cloves for cooking.",Angela did not use her box of cloves for cooking.
1,9,test_type5_again_0703,type5_again,"Sam believes that if Sophia finishes her meeting early, she'll never vouch for a friend again.",Sophia has vouched for a friend before.
1,10,test_type5_again_0623,type5_again,"Sam believes that if Henry agrees to go to the concert, he'll never guide a tour again.",Henry has guided a tour before.
1,11,test_type2_possessive_1164,type2_possessive,"Is it true that if the guy has a cheerful stepson, he escapes with his stepson?",The guy has a stepson.
1,12,test_type2_again_1641,type2_again,"If Kimberley reports this problem to the committee, she'll never report a problem to the committee again.",Kimberley reported this problem to the committee again.
1,13,test_type1_again_0811,type1_again,"It's not the case that if the queen balanced a budget for the company, she'll never balance a budget for the company again.",The queen balanced a budget for the company.
1,14,test_type3_possessive_1335,type3_possessive,"It's not the case that if Diane has students, she will teach her 4-year-old student.",Diane has a 4-year-old student.
