S1 Acc,0.5700
S2 Acc,0.4500
S3 Acc,0.3700
Mean Acc,0.4633
F1-E,0.4384
F1-N,0.4000
F1-C,0.5310
Macro-F1,0.4564

item_id,predicted_label
1_1,C
1_2,C
1_3,C
1_4,C
1_5,N
1_6,E
1_7,E
1_8,C
1_9,E
1_10,E
1_11,N
1_12,C
1_13,N
1_14,E
1_15,E
1_16,E
1_17,N
1_18,E
1_19,C
1_20,E
1_21,N
1_22,E
1_23,E
1_24,C
1_25,N
1_26,E
1_27,E
1_28,E
1_29,E
1_30,C
1_31,C
1_32,E
1_33,E
1_34,C
1_35,E
1_36,N
1_37,E
1_38,E
1_39,C
1_40,C
1_41,E
1_42,E
1_43,C
1_44,E
1_45,N
1_46,E
1_47,E
1_48,C
1_49,C
1_50,E
1_51,C
1_52,N
1_53,C
1_54,C
1_55,N
1_56,N
1_57,E
1_58,C
1_59,N
1_60,C
1_61,C
1_62,C
1_63,C
1_64,E
1_65,C
1_66,C
1_67,E
1_68,C
1_69,E
1_70,N
1_71,C
1_72,E
1_73,E
1_74,C
1_75,C
1_76,C
1_77,N
1_78,C
1_79,C
1_80,C
1_81,E
1_82,C
1_83,C
1_84,E
1_85,N
1_86,C
1_87,N
1_88,C
1_89,C
1_90,C
1_91,E
1_92,N
1_93,E
1_94,N
1_95,E
1_96,C
1_97,C
1_98,N
1_99,C
1_100,E
2_1,E
2_2,E
2_3,E
2_4,N
2_5,N
2_6,C
2_7,E
2_8,C
2_9,N
2_10,C
2_11,C
2_12,E
2_13,E
2_14,C
2_15,C
2_16,N
2_17,E
2_18,C
2_19,C
2_20,E
2_21,N
2_22,E
2_23,N
2_24,C
2_25,C
2_26,N
2_27,N
2_28,C
2_29,E
2_30,E
2_31,E
2_32,N
2_33,E
2_34,E
2_35,E
2_36,C
2_37,C
2_38,E
2_39,N
2_40,C
2_41,C
2_42,N
2_43,C
2_44,C
2_45,E
2_46,C
2_47,N
2_48,E
2_49,E
2_50,E
2_51,C
2_52,E
2_53,E
2_54,C
2_55,C
2_56,E
2_57,E
2_58,C
2_59,N
2_60,C
2_61,E
2_62,E
2_63,C
2_64,E
2_65,E
2_66,E
2_67,N
2_68,N
2_69,C
2_70,N
2_71,C
2_72,E
2_73,C
2_74,E
2_75,E
2_76,E
2_77,N
2_78,C
2_79,E
2_80,E
2_81,E
2_82,C
2_83,N
2_84,C
2_85,E
2_86,C
2_87,C
2_88,C
2_89,C
2_90,N
2_91,N
2_92,E
2_93,N
2_94,E
2_95,E
2_96,C
2_97,C
2_98,E
2_99,E
2_100,E
3_1,N
3_2,E
3_3,E
3_4,N
3_5,N
3_6,C
3_7,C
3_8,C
3_9,C
3_10,E
3_11,E
3_12,C
3_13,E
3_14,C
3_15,C
3_16,E
3_17,E
3_18,C
3_19,C
3_20,N
3_21,E
3_22,E
3_23,C
3_24,C
3_25,C
3_26,N
3_27,E
3_28,E
3_29,C
3_30,E
3_31,N
3_32,E
3_33,C
3_34,E
3_35,E
3_36,C
3_37,C
3_38,N
3_39,E
3_40,E
3_41,N
3_42,C
3_43,C
3_44,E
3_45,C
3_46,E
3_47,E
3_48,C
3_49,C
3_50,C
3_51,C
3_52,E
3_53,C
3_54,E
3_55,E
3_56,E
3_57,N
3_58,C
3_59,C
3_60,C
3_61,E
3_62,N
3_63,C
3_64,C
3_65,E
3_66,E
3_67,E
3_68,E
3_69,C
3_70,C
3_71,C
3_72,E
3_73,N
3_74,C
3_75,E
3_76,C
3_77,C
3_78,E
3_79,C
3_80,E
3_81,E
3_82,C
3_83,E
3_84,C
3_85,C
3_86,C
3_87,C
3_88,C
3_89,C
3_90,C
3_91,C
3_92,N
3_93,N
3_94,E
3_95,E
3_96,C
3_97,C
3_98,N
3_99,E
3_100,E
