form,model_lemma
2/14/2005,NA
confused,confuse
revise,revise
you,you
you,you
Joe,Joe
.,NA
Newsgroups,Newsgroups
keeping,keep
in,in
",",NA
announced,announce
wanted,want
TX,TX
leading,NA
reviews,NA
-,NA
you,you
bullshit,bullshit
-,NA
the,the
MSM,MSM
the,the
APEC,APEC
",",NA
",",NA
'74,NA
a,a
training,NA
you,you
company,company
pretty,pretty
.,NA
-,NA
the,the
emphemeral,NA
finished,NA
the,the
allies,ally
my,my
up,up
makes,make
Enron,Enron
pay,pay
the,the
provided,provide
guy,guy
Farrell,Farrell
the,the
saving,NA
satisfied,NA
ounces,ounce
and,and
the,the
battery,battery
to,to
the,the
Lincoln,Lincoln
statues,statue
cory,cory
revised,revise
greasy,greasy
ago,ago
when,when
address,NA
bathroom,bathroom
to,to
slower,slow
sympathise,sympathise
HPL,HPL
I,I
the,the
elections,election
.,NA
somewhat,somewhat
Wii,Wii
anyone,anyone
out,out
Detroit,Detroit
device,device
here,here
he,he
.,NA
blowing,blow
vegetables,vegetable
component,component
comes,come
for,for
exhibits,NA
?,NA
government,government
the,the
ground,ground
Everyone,everyone
wash,wash
acts,NA
you,you
with,with
Clinton,Clinton
guys,guy
This,this
and,and
you,you
you,you
dreams,dream
the,the
sleep,sleep
to,to
coarse,coarse
the,the
links,NA
like,like
cichlids,cichlid
you,you
a,a
the,the
.,NA
i,I
websites,website
must,must
ppl,ppl
Sprecher,Sprecher
hunting,hunt
the,the
The,the
and,and
koreans,korean
the,the
713.853.3102,NA
just,just
details,detail
I,I
Collins,Collins
the,the
had,have
the,the
Thank,thank
Courteous,Courteous
he,he
the,the
results,NA
resources,resource
stars,star
are,be
Blanche,Blanche
cash,cash
which,which
[ruth.penyc...@bbc.co.uk](mailto:ruth.penyc...@bbc.co.uk),NA
Jordan,Jordan
soyega,soyega
blowing,blow
asked,ask
Yup,Yup
Friday,Friday
quite,quite
is,be
giving,give
you,you
not,not
to,to
hands,hand
the,the
gifts,gift
pledged,pledge
(,NA
"""",NA
film,film
by,by
friends,friend
",",NA
by,by
Administrator,Administrator
put,put
to,to
leaders,leader
matters,NA
over,over
experience,NA
Web,Web
switched,NA
additional,additional
-,NA
you,you
you,you
you,you
Arriving,arrive
timely,timely
compliments,compliment
contemplating,contemplate
-,NA
the,the
photographers,photographer
Invercargill,Invercargill
years,year
I,I
Confidentiality,Confidentiality
have,have
frame,frame
getting,get
darlington,darlington
