item_id,sentence,option_a,option_b
pr_en_000093,"The letter that Joel has written is being read by Adam, so _ is the writer.",Joel,Adam
pr_en_000205,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be American.",Lindsey,Rachel
pr_en_000429,James needed a bigger box to collect the silver he exchanged for the gold because the _ is bigger.,silver,gold
pr_en_000786,"Samuel tried on the old hat, but Craig did not, and as a result _ found lice in their hair.",Samuel,Craig
pr_en_000832,A lawsuit was filed against Patricia by Erin because _ had their new car damaged.,Patricia,Erin
pr_en_000860,"Donna was in love with two perfumes, coconut and floral. She preferred the _ for the gardenia smell.",coconut,floral
pr_en_000896,Being polite came natural to Betty but not Rachel because _ had not read any books on etiquette.,Betty,Rachel
pr_en_000953,Lawrence did not like the smell of Joel's new soap but _ liked musky smells.,Lawrence,Joel
pr_en_001016,Rebecca told Amy that her neck pain has not gone away now for two weeks.  _ was sympathetic.,Rebecca,Amy
pr_en_001314,"Brian liked to clean with vinegar but Kenneth hated the smell, so _ had to use something else.",Brian,Kenneth
pr_en_001661,James is scared of the bird's beak but has nothing to worry about with the claw. The _ is blunt.,beak,claw
pr_en_001802,"i wear skirts best  in the hot climate and temperatures, the _ are hot.",temperatures,skirt
pr_en_001869,Michael had such a simple life compared to Steven because _ came from a poor family.,Michael,Steven
pr_en_001951,"They bought the kitchen table instead of the coffee table, because the _ was too short.",kitchen table,coffee table
pr_en_001984,"Since the baseball broke Mary's windshield but missed Lindsey's car altogether, _ could not believe their amazing luck.",Mary,Lindsey
pr_en_001988,Don had more wrinkles on his forehead than on his neck because the skin on the _ was covered.,neck,forehead
pr_en_002033,"Gmail is so yesterday Samantha thought as Jennifer talked about it, _ is on top of new trends.",Samantha,Jennifer
pr_en_002076,"Angela is preparing Mary for tricky interview questions, because _ wants to help her.",Angela,Mary
pr_en_002307,It was easier for us to pick the apples than the oranges because the _ were lower down in the trees.,apples,oranges
pr_en_002388,The kids were excited to leave school to go to the party because the _ was fun.,party,school
pr_en_002411,Keeping to a daily routine was easier for Monica than Victoria because _ had very little self discipline.,Monica,Victoria
pr_en_002419,Kayla didn't put a pumpkin and candy on their porch like Patricia did because _ doesn't celebrate Halloween.,Kayla,Patricia
pr_en_002629,Benjamin owed far more money to the car dealer than Samuel because _ bought an expensive car.,Benjamin,Samuel
