item_id,answer,confidence
11,B,4
17,B,4
18,A,5
23,A,4
45,B,5
46,A,4
58,B,5
77,A,3
78,B,4
79,A,4
99,A,3
138,B,5
139,B,4
140,A,4
141,A,4
182,A,4
183,B,4
254,REFUSE,1
286,B,4
289,B,3
324,A,4
325,A,5
386,A,4
400,A,4
433,B,5
437,B,5
440,A,5
487,B,5
503,A,3
510,A,4
540,A,4
555,B,4
556,B,5
569,A,5
598,B,4
603,A,4
614,B,4
650,A,4
651,REFUSE,1
652,A,4
660,B,4
665,B,5
682,B,5
722,A,4
21,B,4
42,A,4
51,B,5
60,B,3
80,B,5
85,B,5
108,A,4
109,A,4
112,REFUSE,1
118,B,2
144,B,5
166,B,5
174,A,4
175,A,4
178,B,3
198,REFUSE,1
234,B,5
236,B,4
237,B,4
248,B,5
250,A,3
255,A,4
257,A,4
260,B,4
261,B,3
266,A,4
283,REFUSE,1
307,B,4
308,REFUSE,1
312,A,4
317,A,5
320,B,4
329,A,5
356,A,4
374,A,4
381,A,5
385,B,4
395,B,5
410,B,5
420,A,5
435,B,5
446,B,4
448,A,5
456,A,3
469,A,5
504,A,5
522,A,5
553,A,5
561,A,3
586,B,3
600,A,4
633,B,3
640,B,5
641,A,5
655,A,4
656,B,5
661,A,4
671,B,4
691,B,5
697,B,5
698,A,4
703,A,4
708,B,5
738,A,4
741,B,4
