item_id,answer,confidence
11,B,4
17,B,4
18,A,4
23,B,4
45,B,4
46,A,4
58,B,4
77,B,4
78,A,4
79,A,4
99,B,4
138,B,4
139,B,4
140,A,4
141,B,4
182,B,4
183,A,4
254,A,4
286,B,4
289,A,4
324,A,4
325,A,4
386,A,4
400,B,4
433,B,4
437,A,4
440,A,4
487,B,5
503,B,4
510,B,4
540,A,4
555,B,4
556,B,4
569,A,4
598,B,4
603,A,4
614,B,4
650,A,4
651,A,4
652,A,4
660,B,4
665,B,4
682,B,5
722,B,4
22,B,4
42,B,4
60,A,4
80,B,4
85,B,4
108,A,4
109,A,4
112,A,3
118,A,4
175,B,4
198,B,4
237,B,4
248,B,4
255,A,4
257,B,4
260,A,4
261,A,4
283,B,4
307,B,4
308,A,4
320,B,4
356,A,4
410,B,4
448,B,4
469,B,4
561,B,4
562,B,4
586,B,4
600,B,4
633,B,4
641,B,4
655,B,5
671,A,4
691,A,4
697,B,4
703,B,4
708,B,4
741,B,4
