item_num,sentence,option1,option2
1,Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,Ian,Dennis
2,Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,Ian,Dennis
3,"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .",Emily,Patricia
4,"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .",Emily,Patricia
5,Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica
6,Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica
7,Craig really loves to clean all the time but Derrick does not because _ is very neat.,Craig,Derrick
8,Craig really loves to clean all the time but Derrick does not because _ is very untidy.,Craig,Derrick
9,"Feeling a draft, William asked Neil to please close the front door because _ was closer.",William,Neil
10,"Feeling a draft, William asked Neil to please close the front door because _ was farther away.",William,Neil
11,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.,Elena,Megan
12,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.,Elena,Megan
13,"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.",Kenneth,Dennis
14,"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.",Kenneth,Dennis
15,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.",Eric,Neil
16,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.",Eric,Neil
17,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.",Patricia,Tanya
18,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.",Patricia,Tanya
19,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.,Kevin,Nelson
20,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.,Kevin,Nelson
21,"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.",Emily,Sarah
22,"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.",Emily,Sarah
23,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",Elena,Tanya
24,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",Elena,Tanya
25,"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",Rebecca,Amy
26,"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",Rebecca,Amy
27,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.",Dennis,Jason
28,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.",Dennis,Jason
29,"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph
30,"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph
31,"Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.",Kevin,Nick
32,"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",Kevin,Nick
