item_num,correct_answer_num,correct_letter,correct_text
1,1,A,ኢያን
2,2,B,ፓትሪሺያ
3,1,A,ኤሚሊ
4,1,A,ክሬግ
5,2,B,ዴሪክ
6,2,B,ሜጋን
7,1,A,ኤሌና
8,1,A,ኬኔት
9,1,A,ኤሪክ
10,2,B,ኒይል
11,2,B,ታንያ
12,1,A,ፓትሪሺያ
13,1,A,ኬቨን
14,2,B,ታንያ
15,1,A,ሬቤካ
16,2,B,ኤሚ
17,2,B,ጄሰን
18,1,A,ዴኒስ
19,2,B,አዳም
20,1,A,ካይል
21,2,B,ኬቨን
22,2,B,ክሪስቶፈር
23,1,A,ኒክ
24,2,B,ክሬግ
25,1,A,ኤሪክ
26,2,B,ማይክል
27,2,B,ኬይላ
28,1,A,ኤሚ
29,2,B,ኤሚሊ
30,1,A,ሳማንታ
31,2,B,ካትሪና
32,2,B,ካትሪና
33,1,A,ብሪያን
34,1,A,ዊልያም
35,1,A,ካትሪና
36,2,B,ኢየን
37,2,B,ዊልያም
38,1,A,ዊልያም
39,2,B,ማቲው
40,1,A,ጀስቲን
41,2,B,ጆሴፍ
42,1,A,ሎጋን
43,2,B,ሳማንታ
44,1,A,ቤቲ
45,2,B,አዳም
46,1,A,ጄሲካ
47,2,B,ሞኒካ
48,2,B,ማሪያ
49,1,A,ኤሚሊ
50,2,B,ሎጋን
51,2,B,ኒይል
52,1,A,ሮበርት
53,2,B,ጄፍሪ
54,1,A,ኬኔት
55,2,B,ክሪስቲን
56,1,A,ማቲው
57,2,B,ክርስቶፈር
58,2,B,ማሪያ
59,2,B,ፓትሪሺያ
60,1,A,ኬሪ
61,2,B,አንጄላ
62,1,A,ጄሰን
63,1,A,ሞኒካ
64,1,A,ኤሚሊ
65,2,B,ማይክል
66,1,A,ኢየን
67,1,A,ዴሪክ
68,2,B,ማቲው
69,2,B,ታንያ
70,2,B,ካሪ
71,1,A,አዳም
72,2,B,ጆሴፍ
73,2,B,ሜጋን
74,2,B,ራንዲ
75,1,A,ጄፍሪ
76,1,A,ኤሪክ
77,2,B,ጀስቲን
78,2,B,ዴኒስ
79,2,B,ሳራ
80,2,B,ሪቤካ
81,1,A,ጄሲካ
82,2,B,ጄኒፈር
83,1,A,ታንያ
84,2,B,ኬኔት
85,1,A,ኬይላ
86,2,B,ላውራ
87,1,A,ኤሚ
88,2,B,ማይክል
89,1,A,ሎውረንስ
90,2,B,ሣራ
91,2,B,ሌስሊ
92,2,B,ብሬት
93,1,A,ቤቲ
94,1,A,ቤንጃሚን
95,1,A,ፓትሪሺያ
96,1,A,ጆኤል
97,1,A,አንጄላ
98,2,B,ስቲቨን
99,2,B,ሞኒካ
100,1,A,ናታሊ
101,1,A,ኢየን
102,2,B,ክሬግ
103,1,A,ጄሰን
104,2,B,ሃንተር
105,1,A,ላውረንስ
106,2,B,ሮበርት
107,1,A,ጄፍሪ
108,1,A,ክሪስቶፈር
109,2,B,ክርስቲን
110,2,B,ራያን
111,1,A,ቪክቶሪያ
112,2,B,ናታሊ
113,2,B,ማሪያ
114,1,A,ጄፍሪ
115,2,B,አዳም
116,2,B,ኤሚ
117,1,A,ክሬግ
118,1,A,ሌስሊ
119,2,B,ቤቲ
120,1,A,ታንያ
121,2,B,ጆሴፍ
122,1,A,ብሪያን
123,2,B,ራያን
124,2,B,ብራያን
125,1,A,ሞኒካ
126,2,B,ኤሪን
127,1,A,ሜሪ
128,1,A,ኤሚ
129,2,B,ጄሲካ
130,1,A,ሜጋን
131,2,B,ሬቤካ
132,1,A,ክሪስቲን
133,2,B,ሜጋን
134,2,B,ኬይላ
135,1,A,ቤቲ
136,2,B,ዶናልድ
137,1,A,ሎጋን
138,2,B,ሳማንታ
139,1,A,ላውራ
140,1,A,ኬይላ
141,1,A,ፓትሪሺያ
142,2,B,ካይል
143,1,A,ዊልያም
144,2,B,ጄሲካ
145,1,A,ጄሲካ
146,2,B,ፓትሪሺያ
147,1,A,ኒል
148,1,A,ላውረንስ
149,1,A,ሲንቲያ
150,2,B,ላውራ
151,2,B,ጄሰን
152,2,B,ኤሌና
153,2,B,ጀስቲን
154,1,A,ዊልያም
155,2,B,አዳም
156,1,A,ኤሌና
157,1,A,ናታሊ
158,2,B,ጄሰን
159,1,A,ሳማንታ
160,2,B,ዶናልድ
161,1,A,ኬቨን
162,2,B,ኒል
163,1,A,ክሪስቲን
164,2,B,ኤሪክ
165,1,A,ኔልሰን
166,1,A,ካትሪና
167,1,A,ፓትሪሺያ
168,2,B,ኬይላ
169,2,B,ጆሴፍ
170,1,A,ሃንተር
171,1,A,ጄሰን
172,2,B,ቤንጃሚን
173,1,A,ማይክል
174,1,A,ማሪያ
175,1,A,ሃንተር
176,2,B,ሮበርት
177,1,A,ኔልሰን
178,2,B,ጀስቲን
179,2,B,ካሪ
180,2,B,ፊሊሺያ
181,1,A,ካትሪና
182,1,A,ሳራ
183,1,A,ኔልሰን
184,1,A,ዴሪክ
185,2,B,ዊልያም
186,1,A,አዳም
187,2,B,ኬኔት
188,1,A,ካሪ
189,2,B,ቤንጃሚን
190,2,B,ሳራ
191,1,A,ኤሪን
192,2,B,ኤሚ
193,2,B,ፓትሪሺያ
194,1,A,ኤሪን
195,2,B,ሜጋን
196,2,B,ክሬግ
197,2,B,ዴኒስ
198,2,B,ማሪያ
199,2,B,ፊሊሺያ
200,1,A,ታንያ
201,1,A,ካይል
202,1,A,ሲንቲያ
203,2,B,ማይክል
204,1,A,ዊልያም
205,1,A,ሞኒካ
206,2,B,ኬቨን
207,1,A,ሲንቲያ
208,2,B,ሞኒካ
209,1,A,ሃንተር
210,1,A,ሳማንታ
211,1,A,ክሪስቶፈር
212,2,B,ኤሚ
213,1,A,ሲንቲያ
214,1,A,አሮን
215,1,A,ሳማንታ
216,2,B,ፓትሪሺያ
217,1,A,ኢየን
218,1,A,ኒክ
219,1,A,ቪክቶሪያ
220,1,A,ክሬግ
221,2,B,ዶናልድ
222,1,A,ናታሊ
223,1,A,ሬቤካ
224,2,B,ክሪስቲን
225,1,A,ማይክል
226,2,B,ማቲው
227,2,B,ሜሪ
228,1,A,ሜጋን
229,1,A,ጆኤል
230,2,B,ኒይል
231,1,A,ብሬት
232,1,A,ሜጋን
233,2,B,ጄኒፈር
234,2,B,ሳማንታ
235,1,A,ሳማንታ
236,2,B,ሳማንታ
237,2,B,ሳማንታ
238,2,B,ፌሊሺያ
239,1,A,ማሪያ
240,1,A,ዴኒስ
241,1,A,ሎጋን
242,1,A,ኤሪን
243,2,B,ክሬግ
244,2,B,ጄሲካ
245,1,A,ብሪያን
246,1,A,ሳራ
247,1,A,ሃንተር
248,1,A,ማይክል
249,1,A,ማሪያ
250,1,A,ጄሲካ
251,2,B,ሳሙኤል
252,2,B,ዶናልድ
253,1,A,ፓትሪሺያ
254,2,B,ዴኒስ
255,2,B,ሮበርት
256,1,A,ናታሊ
257,1,A,አዳም
258,2,B,ዴኒስ
259,2,B,ጄሲካ
260,2,B,ኤሌና
261,1,A,ዶናልድ
