item_id,premise,hypothesis,gold_label,model_label,correct
ps_de_000001,"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.",Ich habe nicht wieder mit ihm gesprochen.,,,
ps_de_000002,"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.","Ich war so mitgenommen, dass ich einfach wieder anfing mit ihm zu reden.",,,
ps_de_000003,"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.",Wir hatten ein tolles Gespräch.,,,
ps_de_000004,"„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“","Mir war nicht bewusst, dass ich nicht die einzige Person auf dem Feld war an diesem Tag.",,,
ps_de_000005,"„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“","Ich hatte den Eindruck, dass ich im AFCF Air Force Career Field der einzige mit dieser Nummer war.",,,
ps_de_000006,"„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“","Uns wurde allen die gleiche Anzahl gegeben, unabhängig davon, was für Privilegien uns vorher versprochen worden waren. Es war alles gelogen.",,,
ps_de_000007,"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.","Mir wurde nie gesagt, dass ich jemanden treffen würde.",,,
ps_de_000008,"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.","Mir wurde gesagt, dass ein Typ Bescheid bekommen würde, sich mit mir zu treffen.",,,
ps_de_000009,"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.",Der Typ kam etwas spät.,,,
ps_de_000010,"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich möchte dir alles erzählen, was ich darüber weiß!",,,
ps_de_000011,"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich werde nicht darüber reden, obwohl es viel zu decken gibt.",,,
ps_de_000012,"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich werde nicht über die Geschichte der Stadt sprechen, weil es zu viel zu sagen gibt.",,,
ps_de_000013,"Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.",Uns war es egal etwas zu retten.,,,
ps_de_000014,"Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.",Wir wollten eine Sache mehr retten als die Restlichen.,,,
ps_de_000015,"Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.","Wir wollten uns die h-Bombe aufsparen, weil es so schwer war, damit umzugehen",,,
ps_de_000016,Ich bin mir also nicht wirklich sicher warum.,Ich bin mir bezüglich des Grundes sicher.,,,
ps_de_000017,Ich bin mir also nicht wirklich sicher warum.,"Ich weiß nicht, warum er die Schule gewechselt hat.",,,
ps_de_000018,Ich bin mir also nicht wirklich sicher warum.,"Ich weiß nicht, warum das passiert ist.",,,
ps_de_000019,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.",Fannie Flono musste umplanen und kann uns heute keine Geschichten erzählen.,,,
ps_de_000020,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.","Fannie Flono ist hier und sie wird mit uns über ihre Kindheitserfahrungen sprechen als  sie in Augusta, GA, aufgewachsen ist.",,,
ps_de_000021,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.",Fannie Flono konnte heute trotz ihres vollen Terminkalenders mit uns sprechen.,,,
ps_de_000022,"Und ich hatte äh, fünf Abteilungen von U2",Ich habe mich mit den U2 beschäftigt.,,,
ps_de_000023,"Und ich hatte äh, fünf Abteilungen von U2",Ich habe mich überhaupt nicht mit den U2 beschäftigt.,,,
ps_de_000024,"Und ich hatte äh, fünf Abteilungen von U2",Ich arbeitete mit der Ablösung der U2's  jeden Tag für vierzig Jahre.,,,
ps_de_000025,Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.,"Ich fand es nicht gut die Einzige zu sein, die die Regler für die Tests bedient.",,,
ps_de_000026,Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.,Versuche wurden in den Miniatur-Höhenkammern durchgeführt.,,,
ps_de_000027,Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.,Ein paar von uns haben die Testregler bedient.,,,
ps_de_000028,"Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.","Ich arbeite noch immer, bis heute.",,,
ps_de_000029,"Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.",Ich bin 2002 in den Ruhestand gegangen.,,,
ps_de_000030,"Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.","Rick sagte dir, dass ich im Ruhestand war.",,,
ps_de_000031,"Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.",Der Kunde namens Cutty verdient 10.000 $ pro Monat.,,,
ps_de_000032,"Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.",Es gibt einen Klient mit dem Name Cutty.,,,
ps_de_000033,"Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.",Wir haben keine Kunden namens Cutty.,,,
ps_de_000034,"Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.","Das Mädchen, von dem ich Hilfe brauche, lebt in einiger Entfernung.",,,
ps_de_000035,"Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.","Das Mädchen, das mir helfen wird, ist 5 Meilen entfernt.",,,
ps_de_000036,"Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.","Es gibt niemanden, der mir helfen kann.",,,
ps_de_000037,"Aber sie waren gespalten darüber, wer die Feldhände waren und wer die Hauskinder waren, es war irgendwie ...","Alle waren sich einig, dass sie alle auf den Feldern arbeiten würden.",,,
