item_id,answer,confidence
11,A,4
17,A,3
18,A,4
23,B,4
45,A,4
46,A,4
58,A,3
77,A,4
78,A,4
79,B,4
99,B,4
138,A,4
139,A,4
140,A,3
141,A,4
182,A,4
183,A,4
254,A,3
286,A,4
289,A,4
324,A,4
325,A,3
386,B,4
400,A,3
433,B,4
437,A,4
440,A,3
487,B,4
503,A,4
510,A,3
540,A,3
555,A,3
556,B,4
569,A,4
598,A,3
603,A,3
614,A,4
650,B,4
651,B,4
652,A,3
660,B,4
665,A,3
682,B,4
722,B,4
21,A,3
42,A,4
57,A,3
67,A,4
85,B,4
109,A,4
112,A,4
166,A,4
168,B,4
174,B,4
184,A,4
198,A,3
234,A,3
237,A,4
255,A,4
256,A,3
257,B,3
261,A,4
307,A,3
308,B,4
317,A,3
320,B,3
329,A,3
356,A,3
374,B,4
381,A,3
385,B,4
395,B,3
410,A,3
423,B,4
424,B,4
426,A,3
435,A,3
446,A,4
448,A,4
452,B,4
469,A,4
504,A,3
522,A,4
528,B,3
553,A,3
586,A,3
600,A,4
630,A,3
633,B,4
640,A,4
642,A,4
655,A,3
661,A,4
671,B,4
697,B,3
698,A,3
703,B,3
741,A,3
