id,sentence,gold_entities
0,( 52.76 / 53.18 ),[]
1,WESTERN CONFERENCE,[]
2,Wasim Akram b Harris 4,[]
3,Mansfield 21 5 9 7 21 22 24,[]
4,"-- New York Commodities Desk , 212-859-1640",[]
5,"The 35-year-old woman was charged with possession of explosives with intent to endanger life and making a house available for the purpose of terrorism , police said .",[]
6,-- Bucharest Newsroom 40-1 3120264,[]
7,"for , goals against , points ) :",[]
8,Wycombe 22 4 5 13 17 33 17,[]
9,Indianapolis closes with games at Kansas City and Cincinnati .,[]
10,SOCCER - LEADING SCOTTISH PREMIER DIVISION SCORERS .,[]
11,Torquay 22 8 4 10 22 24 28,[]
12,"New Zealand Prime Minister Jim Bolger , emerging from coalition talks with the nationalist New Zealand First party on Friday afternoon , said National and NZ First would meet again on Sunday .",[]
13,League teams after games played on Thursday ( tabulate under,[]
14,21. Shannon Nobis ( U.S. ) 1:19.08,[]
15,Canola 47.1 988.1 1135.5 46.7 894.9 822.0,[]
16,8-213 9-216 .,[]
17,C. Harris lbw b Wasim 22,[]
18,TORONTO 11 15 0 76 89 22,[]
19,with the United States and with the first woman ever to hold the position of Secretary of State .,[]
20,It has produced 1.5 million hectolitres .,[]
21,One of the players need 10 stitches to a cut on his forearm .,[]
22,10= Florence Masnada ( France ) 51,[]
23,Salim Malik not out 1,[]
24,"Japan 's Economic Planning Agency has not changed its view that the economy is gradually recovering , despite relatively weak gross domestic product figures released on Tuesday , EPA Vice Minister Shimpei Nukaya told reporters on Friday .",[]
25,The two men were hit in the pelvis and leg .,[]
26,Montrose 17 9 3 5 30 25 30,[]
27,4. Eric Bergoust ( U.S ) 207.15,[]
28,Kanchelskis 28 ) .,[]
29,WELLINGTON 1996-12-06,[]
30,Corn 79.6 163.5 9.4 95.7 252.0,[]
31,""" The nomination ...",[]
32,UNITED NATIONS 1996-12-06,[]
33,16. Leatitia Dalloz ( France ) 1:18.96,[]
34,"A city official , who declined to be named , explained that Goldman , Sachs , which this summer was demoted to the second tier of the syndicate , proposed the floating rate issue and as a result was promoted to book runner for this offering .",[]
35,Indiana 86 GOLDEN STATE 71,[]
36,"Cuttitta , who trainer George Coste said was certain to play on Saturday week , was named in a 21-man squad lacking only two of the team beaten 54-21 by England at Twickenham last month .",[]
37,Chester 1 Boston 0,[]
38,VANCOUVER AT DALLAS,[]
39,Lille 20 7 7 6 22 28 28,[]
40,""" I 'd like to come over but there are a lot of things happening at home .",[]
41,"In addition , Statistics Canada indicated the following exports to the U.S. between August and September 1996 , in tonnes :",[]
42,Traders noted the lack of blue chips or stocks traded at significant volume among the gainers .,[]
43,New York City on Friday said that it planned a $ 775 million refunding for January that will include its first floating rate issue of taxable debt for European investors .,[]
44,Van der Vegt 77 ) .,[]
45,A police spokesman said two youths believed to be supporters of President Nelson Mandela 's African National Congress ( ANC ) had been killed when unknown gunmen opened fire at the rural settlement of Izingolweni on KwaZulu-Natal province 's south coast on Thursday night .,[]
46,The touring team were 27-0 ahead by half-time before easing up in the second-half .,[]
47,"The overnight market opened at 22.00 / 22.75 percent , then substantial money was taken up at 22.5 percent .",[]
