sample_id,id,sentence
1,1,the student who everyone likes left.
1,2,In price soared oil.
1,3,Reading about herself in the tabloids always annoys Sandra.
1,4,Peter is the old pigs.
1,5,"She made light, not too surprisingly, of the difficulties we might have at the border."
1,6,I doubt you can help me in understanding this.
1,7,The man who Mary loves and Sally hates George computed my tax.
1,8,Carla mopped under the furniture.
1,9,John spoke to Mary French.
1,10,I've got to try and find that screw.
1,11,"The harder that it rains, how much faster a flow do you see in the river?"
1,12,Jennifer craned her neck.
1,13,Mary should buy some flowers some bread.
1,14,Loren was relied on by Pavarotti and Hepburn by Bond.
1,15,Paula's right hand spanked the naughty child.
1,16,Having read of Shakespeare satisfied me
1,17,Leona pushed the cart to the market.
1,18,John did not rain.
1,19,Make yourself comfortable and I got sick.
1,20,Toothbrush the is blue.
1,21,How did you solve the problem?
1,22,"I've been wondering whether, but wouldn't positively want to state that."
1,23,The fly swatted.
1,24,Palmer is a guy who for for him to stay in school would be stupid.
1,25,Jennie smiled the microwave.
1,26,The writer is that gets you so involved.
1,27,Mary considered his to have loved her.
1,28,The cat trotted in the kitchen.
1,29,I know two men behind myself.
1,30,The mouse nibbled on the cheese.
1,31,10 lb was weighed by the package.
1,32,Any of the citizens hardly ever say anything.
1,33,Everyone likes himself.
1,34,The person who never had he been so offended was Sir Thomas.
1,35,Who did you see in Las Vegas?
1,36,Sharon has been eager finishing the book.
1,37,Betsy loves herself in blue leather.
1,38,I've kicked more of a man than you have.
1,39,The scenes to which the censors took objection had to do with the mixed marriage of a woman and a giant panda.
1,40,You can lead a horse to water but will it drink?
1,41,Calvin will not eat the beef waffles.
1,42,John intends to review the book.
1,43,Which did you buy the table supported the book?
1,44,John died to heart disease.
1,45,I reviewed Joe's attempt to find Holly while you reviewed José's attempt to.
1,46,Heidi dislikes the TV's depiction of herself.
1,47,John couldn't visit Sally.
1,48,Mary considered he to have loved her.
1,49,"Tonight, what Bob cooked yesterday still tastes good, so tonight, what Bob cooked yesterday will be eaten up."
1,50,I read these big three books.
1,51,I've been at work for six hours.
1,52,Heather cabled the news at Sara.
1,53,Mary considered John to have loved her.
