item_id,premise,hypothesis,gold_label,model_label,correct
ps_ru_000034,"Девушка, которая может мне помочь, находится на другой стороне города","Девушка, чья помощь мне нужна, живет очень далеко.",E,,
ps_ru_000162,"Она это ненавидела и говорила своей сестре каждый день, что ты ведешь себя неверно.",Она очень критически отзывалась о своей сестре.,E,,
ps_ru_000297,"И, это, ночью, мне кажется, мне было не заснуть.",Прошлую ночь я спал как дитя!,C,,
ps_ru_000322,"И затем я стал искать, узнал, где была Рамона и позвонил ей туда.",Я пригласил Рамону к себе домой.,N,,
ps_ru_000379,Ээ... большую часть своего времени я посвящаю... ээ... особым видам деятельности.,Я был каждый день задействован в Специальных Работах.,N,,
ps_ru_000494,Он мне в отцы годится.,Он намного моложе меня.,C,,
ps_ru_000623,"упс, нет, я живу не на кампусе.",Я живу через несколько кварталов от кампуса.,N,,
ps_ru_000678,"в основном это связано с Вашингтоном, они непобедимы, и Буффало Нью-Орлеана и Чикаго, потому Чикаго проиграли только дважды, при этом, один раз Буффало.",Вашингтон проиграл все игры до одной.,C,,
ps_ru_000745,"Брайян из г. Плейно, штат Техас, как у тебя сегодня настроение?","Как ты, Мария?",C,,
ps_ru_000763,"Знаешь, это возможно скорее из-за того, что мне просто нравится обложка, чем потому, что у меня нет времени читать газету.","Мне нравится, как об этом рассказала, потому что у меня никогда нет времени сидеть и читать газету.",E,,
ps_ru_000778,"И он грубо отделался от этого, скажем, он был на девяносто пять процентов собой","Выпалив это, он, казалось, пришел в себя.",E,,
ps_ru_000866,"и эм я думаю, что мы будем эм наравне с ними в зарплате и в признании в долгосрочной перспективе","В перспективе, для данной должности должны быть более лучшие варианты зарплаты, чем текущая альтернатива.",C,,
ps_ru_000897,"и давайте посмотрим, думаю, двадцать лет назад, мы только начинали входить в то, что позже было названо сексуальной революцией, все это было под кайфом и пр, и пр.",Сексуальная революция все еще не произошла.,C,,
ps_ru_000909,"да, я просто слышала о нем в этом году мой парень любит некоторые направления музыки кантри и он это слушал и это",Мой бойфренд слушает музыку.,E,,
ps_ru_000987,"такое впечатление, что я плачу в любом случае, потому что когда иду я, или пусть даже идёт моя страховая компания, если мне приходится что-то платить, то счета выставляются какие-то запредельные.",На медицинских счетах всегда много денег.,E,,
ps_ru_000999,"да, в общем, в последнее время по поводу моего недостаточного походного опыта, так что мы... мой муж участвует в автогонках","Моим единственным относительным опытом, связанным с кампанией могли бы быть гонки на автомобилях, которые устраивает мой муж.",E,,
ps_ru_001028,"[Этот народ] возник в условиях полной свободы, и в его основе лежит принцип равенства между людьми.","Некоторые считают, что все люди равны.",E,,
ps_ru_001072,"Исследования феномена «кинсеаньеры» (исп. quinceañera) показывают, что в большинстве семей празднование 15-летия девочек все еще имеет немалое значение, в том числе и как средство сохранения латиноамериканских традиций.",10-й день рождения дочери - способ укрепления культурных связей.,C,,
ps_ru_001097,"Как отмечалось в предыдущей главе, при вхождении в пограничные сферы должно быть возможным возникновение неких взаимозависимостей, ограничивающих доступ к исследованию с помощью функции естественного отбора, отсеивающей бесперспективных элементов.",Отсутствует взаимодействие.,C,,
ps_ru_001109,"Деннетт различает дарвиновских существ, павловских существ, попперских существ и григорианских существ.","Деннет распознает отличия между созданиями по Дарвину, Павлову, Попперу и Грегориу.",E,,
ps_ru_001161,"Девочка Соня завопила и заметалась, к чему Мередит была привычна.","Соня, женщина пожилая, казалась угрюмой, но  перед Мередит сохраняла хладнокровие.",C,,
ps_ru_001183,"Порой молодая девушка специально преступает религиозные убеждения, настаивая на том, чтобы отправиться на танцы в Страстную пятницу, религиозный праздник и почитаемый день молитвы в семьях Чикано-католиков.",Девушка хотела танцевать в Страсную Пятницу.,E,,
ps_ru_001253,"Правовая философия Конфедерации восторжествовала - как по существу, так и по стилю.",Философия права была побеждена.,C,,
ps_ru_001255,"Речь шла не о слиянии двух наций или культур, а о позиции между двумя культурами, о своеобразном «подвешенном состоянии».","Общеизвестно, что была только одна культура.",C,,
ps_ru_001294,"В конечном итоге он добавил монастырь, галерею и башню.",Он добавил три вещи.,E,,
ps_ru_001413,"Натуралистическое стремление к счастью, отмеченное в Декларации, уступает место квинтэссенциянному существу определения закона: собственность.","В Декларации сказано, что нужно стремиться к богатству.",C,,
ps_ru_001456,"Например, такие слова, как erale (что происходит или ОК)","Erale может значить, что что-то в порядке.",E,,
ps_ru_001475,"Подари такой оператор Гамильтона, скажем, со спиновым стеклом, где спиновое стекло - это магнитный материал с нарушениями.",Спиновое стекло — это очень мощный магнит.,N,,
ps_ru_001520,"Я - посол Его Величества в этих варварских краях, а также близкий друг лорда Сазерленда.",Его Величество отправил меня сюда около недели назад.,N,,
ps_ru_001552,Это эта проклятая нижняя юбка делает из тебя трусиху.,"Ее считают проклятой, потому что она часто лжет.",N,,
ps_ru_001618,"Как и мне сказали, вы дали комиссию короля этому человеку. Его тот самый тон выдал горечь его мстительности","Я уверен, что вы не посвятили его в офицеры, сказал он весело.",C,,
ps_ru_001693,"Я убил его, это правда.",Человек был убит.,E,,
ps_ru_001781,"Он был так тронут, что повысил свой вялый голос.","Он так возвысил свой голос, что его было слышно с расстояния нескольких миль.",N,,
ps_ru_001845,"Хотя даже некоторые из них должны лучше знать, потому что с нами все еще несколько тех, кто был на Барбадосе и знаком с полковником Бишопом, как мы с вами.",Мы тоже знакомы с капитаном Бладом.,N,,
ps_ru_001900,Он бросал их в меня снова и снова.,Они ничего в меня не бросал.,C,,
ps_ru_002059,"Наполеон напал на главную каталонскую святыню, монастырь Монсеррат, и разрушил его.","Наполеон пощадил монастырь Монтсеррат, потому что уважал священные места.",C,,
ps_ru_002081,"К востоку от ворот находится Олимпейон - место, на котором находился самый большой храм, когда-либо построенный на территории Греции.","Потребовалось два десятилетия и пять тысяч человек, чтобы построить храм Олимпейон.",N,,
ps_ru_002112,"Если вы полагаете, что вам это по силам, выходите на Туманную тропу, следуйте мимо Изумрудного озера к Невадскому водопаду, и вы начнете вырываться вперед, оставляя других позади.",Водопад Невада - отличное место для пешей прогулки в небольшой компании.,N,,
ps_ru_002133,"Сойдите на остановке перед Баттяни Тер, чтобы полюбоваться на яркие очертания построенной в 1896 году нео-готической кальвинистской церкви, которая присутствует на множестве панорамных снимков города.","У кальвинисткой церкви 1896 года, выполненной в неоготическом стиле, нет панорамных видов.",C,,
ps_ru_002149,Даже расположение здания - это технологическое чудо.,Здание очень старое и невысокое.,C,,
ps_ru_002232,"У пресноводных рыболовов должно быть разрешение просить в ближайшем туристическом офисе информацию о том, как его получить.",У вас должно быть разрешение на ловлю рыбы размером более 6 дюймов.,N,,
ps_ru_002274,"Почти 100 000 человек в день приходят сюда, чтобы подивиться на потрясающую архитектуру и открыть для себя самые новые достопримечательности в этом вечно меняющемся городе.",В этом городе не очень развита туристическая индустрия.,C,,
ps_ru_002306,"Коридор, с одной стороны которого находится кухонная ниша, а с другой - ниша для складских помещений, ведет в основную жилую зону.",Жилое пространство находится в тоннеле.,E,,
ps_ru_002382,"Это было внушительное оружие, но такое тяжелое, что его можно было перевозить только на 5 км (3 мили) в день.",Это было очень тяжело,E,,
ps_ru_002415,"Извиваясь по холмам и горным кряжам, стена сливается со сложным пейзажем, и от этого зрелища у многих туристов перехватывает дыхание.",Стена находится на ровной поверхности.,C,,
ps_ru_002431,Площадь Дам впервые в своей истории была окружена сушей.,Площадь Дам не имела выхода к морю.,E,,
ps_ru_002469,"Если вы ищете кокосовый ром и прочие виды фруктового рома, здесь вы найдете гигантское разнообразие.","Бывают ромы, изготовленные из любых тропических фруктов.",N,,
ps_ru_002478,"Открытые пространства с 1960 года используются для игр с мячом, это важное, но частичное понимание обрядовых традиций индейской культуры.",В индийской культуре есть игра в мяч.,E,,
