item_id,premise,hypothesis
ps_de_000034,"Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.","Das Mädchen, von dem ich Hilfe brauche, lebt in einiger Entfernung."
ps_de_000162,"Sie hasste es und sie sagte das ihrer Schwester jeden Tag. Sie sagte dass, dass Du es falsch machst.",Sie war sehr kritisch gegenüber ihrer Schwester.
ps_de_000297,"Und, ja, aber, in der Nacht dachte ich, ich konnte nicht schlafen.",Ich schlafe nachts wie ein Baby!
ps_de_000322,"Also such ich, finde heraus wo Ramona ist und rufe sie dort an.",Ich habe Ramona zu meinem Haus herübergerufen.
ps_de_000379,"Hmm, ich habe die meiste Zeit mit, hmm, besonderen Aktivitäten verbracht.",Jeden zweiten Tag hatte ich „besondere Aktivitäten“.
ps_de_000494,"Er ist alt genug, um mein Vater zu sein.",Er ist viel jünger als ich.
ps_de_000623,"Ähm, nein, ich lebe nur noch vom Campus",Ich lebe ein paar Blocks vom Campus entfernt.
ps_de_000678,"Es ist quasi ein Kopf an Kopf Rennen zwischen Washington, die bisher unbezwungen sind, und, äh, Buffalo New Orleans und Chicago, den Chicago hat bisher nur zwei Mal verloren und ein Mal davon war gegen Buffalo.",Washington hat jedes Spiel verloren.
ps_de_000745,"Brian in Plano Texas, wie geht es dir heute?",Wie geht es dir Mary?
ps_de_000763,es ist wahrscheinlich eher weil ich die Abdeckung an Informationen mag als dass zu wenig Zeit um die Ausgabe zu lesen der Grund ist.,"Ich mag die Reportage die hat, weil ich habe nie die Zeit um zu sitzen und die Zeitung zu lesen."
ps_de_000778,"Und er, naja, er wurde wieder vernünftig. Er war, also ich würde sagen, er war zu 95 % er selbst.","Nachdem er sich zusammenriss, schien er wieder er selbst zu sein."
ps_de_000866,"und, ähm, ich denke wir werden, ähm, langfristig in Bezug auf Lohn und Anerkennung mit ihnen gleichgestellt sein.",Schließlich sollte diese Position viel bessere Lohnoptionen als die Alternative haben.
ps_de_000897,"und lass uns sehen, vor zwanzig Jahren, ich denke, wir fangen gerade an, in das zu kommen, was sie die äh die Geschlechtsrevolution nannten, wo uh nach der Pille und uh ähm",Die Sex-Revolution ist noch nicht geschehen.
ps_de_000909,"Ja, ich habe erst dieses Jahr von ihm gehört. Mein Freund mag manche Arten von Country-Musik und er hat sich das angehört.",Mein Freund hört sich Musik an.
ps_de_000987,"Nun, es scheint mir, dass ich sowieso dafür bezahle, denn wenn ich oder meine Versicherungsgesellschaft sowieso gehe, wenn ich etwas bezahle, scheinen die Rechnungen ungewöhnlich hoch zu sein",Die Gesundheitsrechnungen sind immer eine Menge Geld.
ps_de_000999,"Ja gut, letztens über meine einzige Halberfahrung mit Campen ist wir, eh, mein Ehemann fährt Autorennen.","Meine einzige relative Erfahrung im Zusammenhang mit Camping wäre mit Autorennen, die mein Mann macht."
ps_de_001028,[Diese Nation wurde] in Freiheit erschaffen und Prämisse gewidmed dass alle Menschen gleich erschaffen sind.,"Manche Leute glaubten, dass alle Menschen gleich sind."
ps_de_001072,"Ein Großteil der Forschung über Quinceaeeras zeigt, dass Familien eine kulturhistorische Tradition beibehalten wollen und die Feier des fünfzehnten Geburtstages einer Tochter ist ein Mittel, die kulturellen Bindungen an ein lateinamerikanisches Erbe fortzusetzen.",Der zehnte Geburtstag einer Tochter ist ein Mittel zur Fortführung kultureller Bindungen.
ps_de_001097,"Wie bereits im vorherigen Kapitel erwähnt, muss es bei der Einreise in das Benachbarte möglich sein, das die Exploration durch die Fähigkeit der natürlichen Selektion eingrenzt, die Verlierer abzuschneiden.",Es gibt kein Zusammenspiel.
ps_de_001109,"Dennett unterscheidet zwischen Darwinischen Lebewesen, Propperianischen Lebewesen und Gregorianischen Lebewesen.","Dennett unterscheidet Unterschiede zwischen Darwinischen, Pawlowschen, Popperischen und Gregorianischen Lebewesen."
ps_de_001161,"Sonja, das Kind heulte und schlug wild um sich, wie es für Meredith üblich war.","Sonja, die eine ältere Frau war, wirkte mürrisch, behielt aber ihre Gelassenheit gegenüber Meredith bei."
ps_de_001183,"In manchen Varianten verstößt ein junges Mädchen gegen religiöse Überzeugungen, indem sie darauf besteht an Karfreitag auszugehen, einem religiösen Feiertag, der in vielen katholischen Chicano-Haushalten ein gewürdigter Gebetstag ist.",Ein Mädchen wollte am Karfreitag tanzen.
ps_de_001253,Die legale Philosophie der Konföderation triumphierte in Substanz und Style.,Die Rechtsphilosophie war besiegt.
ps_de_001255,"Es war keine bikulturelle oder binationale Position, sondern eine Position zwischen den Kulturen, eine im Raum hängende Position.","Es ist öffentlich bekannt, dass es nur eine Kultur gab."
ps_de_001294,"Er fügte schließlich ein Kloster, eine Galerie und einen Turm hinzu.",Er fügte drei Dinge hinzu.
ps_de_001413,"Das naturalistische Streben nach Glück, das in der Deklaration gefeiert wird, macht den Weg frei für die Quintessenz der Definitionseigenschaft des Gesetzes.","Die Declaration sagt, dass man Reichtum verfolgen sollten."
ps_de_001456,Zum Beispiel Worte wie erale (was passiert oder Okay).,"Erale kann bedeuten, dass etwas O.K. ist."
ps_de_001475,"Gewähre einen solchen Hamilton-Operator, sagen wir einen Spin-Glas-Hamilton-Operator, wo ein Spin-Glas ein ungeordnetes magnetisches Material ist.",Ein Spin-Glas ist ein sehr starker Magnet.
ps_de_001520,Ich bin der Gesandte seiner Majestät für diese barbarischen Gebiete und der nahe Verwandte meines Herrn Sunderland.,Seine Majestät hat mich vor etwa einer Woche hierhergeschickt.
ps_de_001552,"Es ist dieser verfluchte Unterrock, der dich zu einem Feigling macht.","Der Petticoat wird als verflucht angesehen, weil er oft Lügen spricht."
ps_de_001618,"Sie haben gewährt, ich habe gesagt, das Engagement des Königs zu diesem Mann. Sein Ton verriet die Bitterkeit seines Grolls","Ich bin sicher, du hast diesem Mann nicht die Genehmigung des Königs erteilt, sagte er fröhlich."
ps_de_001693,"Ich habe ihn getötet, es ist wahr.",Ein Mann wurde ermordet.
ps_de_001781,"Er wurde bewegt, um seine Stimme über seine übliche müde Tonlage zu erheben.","Er wurde so laut, dass man seine Stimme meilenweit hören konnte."
ps_de_001845,"Obwohl manche von ihnen es besserwissen sollten, nachdem noch einige von uns mit auf Barbados waren, und sie kennen Oberst Bishop persönlich.",Wir kennen Captain Blood ebenfalls.
ps_de_001900,Er warf sie immer wieder auf mich.,Er hat niemals etwas nach mir geworfen.
ps_de_002059,"Napoleon attackierte und zerstörte Kataloniens heiligen Schrein, das Kloster von Montserrat.","Napoleon verschonte das Kloster in Montserrat, weil er heilige Schreine respektierte."
ps_de_002081,"Östlich des Tores steht das Olympieion, Stätte der grössten Tempelanlage, die je auf griechischem Boden erbaut wurde.","Es dauerte zwei Jahrzehnte und fünftausend Mann, um den Olympieion-Tempel zu bauen."
ps_de_002112,"Wenn es dir danach ist, beweg dich in Richtung Mist Trail, vorbei am Emerald Pool, zum Nevada Fall, und wirst anfangen die Menschenmassen zu verlieren.",Nevada Falls ist eine großartige Wanderroute mit ein paar Leuten.
ps_de_002133,"Steigen Sie an der Haltestelle vor Batthyany ter ab, um das farbenfrohe Äußere der Neugotischen Reformierten Kirche aus dem Jahr 1896 zu bewundern, die in so vielen Panoramen der Stadt zu sehen ist.",Die neugotische reformierte Kirche aus dem Jahr 1896 bietet keinen Panoramablick.
ps_de_002149,Schon die Lage des Gebäudes ist ein technologisches Wunderwerk.,Das Gebäude ist sehr alt und einfach.
ps_de_002232,"Süßwasserangler benötigen eine Genehmigen. Für Information, wie Sie diese erhalten können, wenden Sie sich an das nächste Touristenbüro.","Sie müssen eine Erlaubnis haben, um Fische zu fangen, die größer als 6 Zoll sind."
ps_de_002274,"Fast 100.000 Menschen kommen täglich hierher, um die beeindruckende Architektur zu bestaunen und die neuesten Attraktionen in dieser sich ständig verändernden Stadt zu erkunden.",Die Stadt hat keine große Tourismusindustrie.
ps_de_002306,Ein Eingangstunnel mit einer Küchennische auf der einen Seite und Lagernischen auf der anderen Seite führt zum Hauptwohnbereich.,Der Wohnbereich befindet sich durch einen Tunnel.
ps_de_002382,"Es war eine hervorragende Waffe, aber so schwer, dass es lediglich 5 km (3 Meilen) pro Tag transportiert werden konnte.",Es war sehr schwer
ps_de_002415,"Während sie sich auf den Gipfeln und Bergrücken hin und her schlängelt, entspricht die Wand einer anspruchsvollen Topografie, die viele Touristen nach Luft schnappen lässt.",Die Wand ist auf dem flachen Boden.
ps_de_002431,Der Dam Square war zum ersten Mal in seiner Geschichte Binnenland.,Dam Square war früher nicht landumschlossen.
ps_de_002469,"Halte Ausschau nach Kokosnussrum und anderen Fruchtrum-Sorten, es gibt unglaublich viele verschiedene.",Es gibt Rums aus jeglicher tropischen Frucht.
ps_de_002478,"Seit den 1960er Jahren entdeckte Freiflächen sollen heute für Ballspiele genutzt werden, die in der indischen Kultur einen wichtigen, aber noch wenig verstandenen zeremoniellen Zweck hatten.",Sie spielen Ball in der indischen Kultur.
ps_de_002519,"Da Titel 7 verlangt, dass die Gültigkeit der Reisekosten vor der Zahlungsbestätigung festgelegt wird, glauben wir, dass die Auflistung aller Ausgaben auf dem Reisegutschein dazu beiträgt, diese Anforderung zu erfüllen.",Titel 7 befasst sich mit Reiseanträgen.
ps_de_002664,"Wenn die von Ihnen beurteilten Daten nicht ausreichend zuverlässig sind, sollten Sie diese Feststellung in den Bericht aufnehmen und empfehlen, dass das geprüfte Unternehmen Korrekturmaßnahmen ergreift.",Unzuverlässige Daten sollten nur an  Gesetzeshüter gemeldet werden.
ps_de_002669,"Diese Lösungen müssen sowohl auf die Art der Interventionen, welche für ED und medizinische Zentren geeignet sind, sowie auf die spezifischen Probleme des Patienten passen.","Gruppen- und Einzeltherapie sind zwei Arten von Interventionen, die den Patienten üblicherweise zugewiesen werden."
ps_de_002687,"Die Zeitperiode ist in Abblidung A-3 in Anhang A gezeigt. Alledings, je nach den Einzelheiten des Projektes, könnte die Zeit um etwa zwei Monate variieren.",Anhang A zeigt die Zeit in der es fertig sein muss.
ps_de_002754,Einige der Konzentrations-Effekt Funktionen die in der Analyse der Vorteile benutzt wurden von solchen Kurzzeitstudien abgeleitet.,In einigen Teilen dieser Analyse wurden Kurzzeitstudien benutzt.
ps_de_002796,"20 Umgekehrt, Entsparen-mehr ausgeben als das laufende Einkommen-reduziert den Vermögensvorrat, weil in der Vergangenheit gesparte Beträge in Anspruch genommen, vorhandene Vermögenswerte verkauft oder Kredite aufgenommen werden müssen.","Dissaving bedeutet, dass Sie eine Menge Geld sparen."
ps_de_002801,"Zukünftig haben ungefähr ein Drittel der reagierenden Agenturen mitgeteilt, dass sie Ausgliederung der Designprüfungsfunktionen erwägen.","Keine Agenturen erwägen es, die Design Überprüfungs Tätigkeiten auszulagern."
ps_de_002825,"Es sollte beachtet werden, dass die Auswirkung der postalischen Dichte auf Kosten in Frankreich größer ist, als in",Die Postdichte hat keinen Einfluss auf die Kosten.
ps_de_002834,Wir gehen von einer direkten linearen Beziehung zwischen Pro-Kopf-Volumen und Stück pro Möglichkeit aus,"Wir nahmen an, dass Umsatzvolumen pro Kopf und pro Stück verknüpft waren."
ps_de_002971,"Der am wenigsten genannte Grund war, den internen Kern aufrechtzuerhalten.",Der interne Kern spielt keine große Rolle.
ps_de_003115,Das FBI muss strenge Sicherheits- und Leistungsstandards in Bezug auf seine unbefristeten und Vertragsbediensteten einhalten.,Das FBI macht sich nicht viele Gedanken über seine Angestellten.
ps_de_003116,Das FBI muss strenge Sicherheits- und Leistungsstandards in Bezug auf seine unbefristeten und Vertragsbediensteten einhalten.,"Das FBI muss ständig prüfen, ob seine Mitarbeiter sicher sind."
ps_de_003155,"Nach 9/11 hat Motassadeq den deutschen Behörden zugegeben das Shehhi ihn gefragt hatte, dinge auf so einer Art zu behandeln sodass  seine Abwesenheit verborgen ist.","Motassadeq sollte verbergen, dass Shehhi in New York City gefehlt hatte."
ps_de_003246,"Das Büro des Staatsanwalts oder der Richter lehnte es ab, das Gericht der Vereinigten Staaten betreffend die Überwachung der Auslandsgeheimdienste könnte die Beantragung eines FISA-Haftbefehls ablehnen, weil die Agenten einen letzten Anlauf gegen die Strafverfolgung versuchten.","Das FISA-Gericht weist etwa die Hälfte der Haftungsanträge zurück, die sie erhalten."
ps_de_003275,"Da die Namen auf der Watchlist der thailändischen Behörden sind, können wir uns die verzögerte Nachrichtenberichterstattung nicht erklären.",Es gibt eine leichte Erklärung für die späten Berichte.
