item_num,sentence,option1,option2,correct_answer_num,correct_letter,correct_text
1,Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,Ian,Dennis,2.0,B,Dennis
2,Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,Ian,Dennis,1.0,A,Ian
3,"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .",Emily,Patricia,2.0,B,Patricia
4,"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .",Emily,Patricia,1.0,A,Emily
5,Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,2.0,B,Jessica
6,Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,1.0,A,Megan
7,Craig really loves to clean all the time but Derrick does not because _ is very neat.,Craig,Derrick,1.0,A,Craig
8,Craig really loves to clean all the time but Derrick does not because _ is very untidy.,Craig,Derrick,2.0,B,Derrick
9,"Feeling a draft, William asked Neil to please close the front door because _ was closer.",William,Neil,2.0,B,Neil
10,"Feeling a draft, William asked Neil to please close the front door because _ was farther away.",William,Neil,1.0,A,William
11,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.,Elena,Megan,2.0,B,Megan
12,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.,Elena,Megan,1.0,A,Elena
13,"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.",Kenneth,Dennis,2.0,B,Dennis
14,"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.",Kenneth,Dennis,1.0,A,Kenneth
15,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.",Eric,Neil,1.0,A,Eric
16,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.",Eric,Neil,2.0,B,Neil
17,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.",Patricia,Tanya,2.0,B,Tanya
18,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.",Patricia,Tanya,1.0,A,Patricia
19,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.,Kevin,Nelson,1.0,A,Kevin
20,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.,Kevin,Nelson,2.0,B,Nelson
21,"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.",Emily,Sarah,1.0,A,Emily
22,"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.",Emily,Sarah,2.0,B,Sarah
23,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",Elena,Tanya,2.0,B,Tanya
24,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",Elena,Tanya,1.0,A,Elena
