item_id,sentence,option_a,option_b,gold_answer
pr_fr_000001,La femme a cherché un vase différent pour le bouquet car _ était trop petit.,le bouquet,le vase,B
pr_fr_000002,La femme a cherché un vase différent pour le bouquet car _ était trop grand.,le bouquet,le vase,A
pr_fr_000003,La chanson a pris plus de temps à chanter que la ballade parce que _ était plus de mots.,la ballade,la chanson,B
pr_fr_000004,La chanson a mis plus de temps à chanter que la ballade car _ était moins de mots.,la ballade,la chanson,A
pr_fr_000005,Sergey a apprécié les dessins complexes et a décidé de conserver la peinture au lieu de la sculpture parce que _ était intéressante.,la peinture,la sculpture,A
pr_fr_000006,Sergey a apprécié les dessins complexes et a décidé de conserver la peinture au lieu de la sculpture car _ était terne.,la sculpture,la peinture,A
pr_fr_000007,Joe est entré à l' école mais pas à l' université après les heures de travail parce que _ n' était pas verrouillée et n' était pas sécurisée.,l' école,l' université,A
pr_fr_000008,Joe est entré à l' école mais pas à l' université après les heures d' ouverture parce que _ était verrouillée et sécurisée.,l' université,l' école,A
pr_fr_000009,La sécurité en ligne était importante pour l' école mais pas pour l' entreprise car _ avait d' énormes problèmes de sécurité.,l' école,l' entreprise,A
pr_fr_000010,"La sécurité en ligne était importante pour l' école, mais pas pour l' entreprise, car _ avait des problèmes de sécurité minimes.",l' école,l' entreprise,B
pr_fr_000011,John soupçonne qu' il n' y a pas de sucre dans le thé mais il y en a dans le café parce que _ est sucré.,le café,le thé,A
pr_fr_000012,"John soupçonne qu' il n' y a pas de sucre dans le thé, mais il y en a dans le café parce que _ est amer.",le café,le thé,B
pr_fr_000013,"La grange a été dévastée par l' inondation mais la maison est restée indemne, car _ se trouvait sur un terrain plus bas.",la maison,la grange,B
pr_fr_000014,"La grange a été dévastée par l' inondation mais la maison est restée indemne, car _ était sur un terrain plus élevé.",la grange,la maison,B
pr_fr_000015,"Le gamin a eu le courage d' aller au sous-sol, mais pas au hangar, car _ était plus sombre.",le hangar,le sous-sol,A
pr_fr_000016,"Le gamin a eu le courage d' aller au sous-sol, mais pas au hangar, car _ était plus léger.",le sous-sol,le hangar,A
pr_fr_000017,Barb voulait une fête au country club plutôt qu' au centre communautaire parce que _ était privé.,le centre,le club,B
pr_fr_000018,Barb voulait une fête au country club plutôt qu' au centre communautaire parce que _ était public.,le centre,le club,A
pr_fr_000019,"Percy va au parc sur son vélo plutôt que sur le train, car _ le fait y aller plus lentement.",le train,le vélo,A
pr_fr_000020,"Percy va au parc sur son vélo plutôt que sur le train, car _ le conduit plus vite.",le vélo,le train,A
pr_fr_000021,"J' étais très fatiguée, alors j' ai choisi l' oreiller sur le lit au lieu du canapé, car _ était à proximité.",le canapé,le lit,B
pr_fr_000022,"J' étais très fatiguée, alors j' ai choisi l' oreiller sur le lit au lieu du canapé, car _ était loin.",le lit,le canapé,B
pr_fr_000023,"J' ai aimé le jeu plus que le film, car _ était interactif.",le jeu,le film,A
pr_fr_000024,"J' ai aimé le jeu plus que le film, car _ était ennuyeux.",le jeu,le film,B
pr_fr_000025,"Il a fait bouillir de l' eau dans la marmite beaucoup plus que de l' huile, car _ réagissait bien à la composition de la marmite.",l' huile,l' eau,B
pr_fr_000026,"Il a fait bouillir de l' eau dans la casserole beaucoup plus que de l' huile, car _ réagissait mal à la composition de la casserole.",l' eau,l' huile,B
pr_fr_000027,"L' effondrement a détruit le cœur de l' installation mais pas le bureau, car _ était si vulnérable.",le bureau,le cœur,B
pr_fr_000028,"L' effondrement a détruit le cœur de l' établissement mais pas le bureau, car _ était si sécurisé.",le cœur,le bureau,B
pr_fr_000029,Kelly a décidé de fertiliser les lis avec du café au lieu du compost car _ est plus acide et les lis prospèrent dans des conditions acides.,le compost,le café,B
pr_fr_000030,Kelly a décidé de fertiliser les lis avec du café au lieu du compost car _ est moins acide et les lis prospèrent dans des conditions acides.,le café,le compost,B
pr_fr_000031,La clôture en bois ne passe pas à travers la porte car _ est trop large.,la porte,la clôture,B
pr_fr_000032,La clôture en bois ne passera pas à travers la porte car _ est trop serrée.,la porte,la clôture,A
pr_fr_000033,Le garçon était si fatigué qu' il s' est endormi sur le canapé au lieu du lit parce que _ était juste là.,le canapé,le lit,A
pr_fr_000034,Le garçon était si fatigué qu' il s' est endormi sur le canapé au lieu du lit parce que _ était dans l' autre pièce.,le canapé,le lit,B
pr_fr_000035,Les enfants étaient ravis de quitter l' école pour aller à la fête parce que _ était amusante.,la fête,l' école,A
pr_fr_000036,Les enfants étaient ravis de quitter l' école pour aller à la fête parce que _ était ennuyeuse.,l' école,la fête,A
pr_fr_000037,La musique sonnait mieux à l' orgue qu' au piano car _ était vieux et avait besoin d' être accordé.,le piano,l' orgue,A
pr_fr_000038,La musique sonnait mieux de l' orgue que du piano parce que _ était grand et impressionnant.,le piano,l' orgue,B
pr_fr_000039,"La voiture était susceptible de geler cet hiver-là, mais la maison ne l' était pas parce que _ avait un chauffage décent.",la voiture,la maison,B
pr_fr_000040,"La voiture était susceptible de geler cet hiver-là, mais la maison ne l' était pas parce que _ était mal chauffée.",la voiture,la maison,A
pr_fr_000041,Le plafond de ma maison était meilleur que le toit de Johns parce que _ était parfait.,le plafond,le toit,A
pr_fr_000042,Le plafond de ma maison était meilleur que le toit de Johns parce que _ avait une fuite.,le toit,le plafond,A
pr_fr_000043,"Les chasseurs devaient porter les manteaux de fourrure d' ours dans la vallée, mais n' en avaient pas besoin sur la montagne, car _ était si froide.",la vallée,la montagne,A
pr_fr_000044,"Les chasseurs devaient porter les manteaux de fourrure d' ours dans la vallée, mais n' en avaient pas besoin sur la montagne, car _ était si chaude.",la montagne,la vallée,A
pr_fr_000045,Le groupe a décidé de faire des dons au groupe au lieu du bâtiment parce que _ était nécessaire.,le groupe,le bâtiment,A
pr_fr_000046,Le groupe a décidé de faire des dons au groupe au lieu du bâtiment car _ n' était pas nécessaire.,le groupe,le bâtiment,B
pr_fr_000047,"À mon avis, vous devriez obtenir le dictionnaire au lieu de l' atlas car _ est plus utile.",le dictionnaire,l' atlas,A
pr_fr_000048,"À mon avis, vous devriez obtenir le dictionnaire au lieu de l' atlas parce que _ est moins utile.",l' atlas,le dictionnaire,A
pr_fr_000049,"La procédure était plus dangereuse que la chirurgie, car _ prendrait beaucoup de temps.",la procédure,la chirurgie,A
pr_fr_000050,"La procédure était plus dangereuse que la chirurgie, car _ serait très courte.",la procédure,la chirurgie,B
pr_fr_000051,"J' ai toujours utilisé la rue près de chez moi et non la route, car _ était toujours plus claire.",la rue,la route,A
pr_fr_000052,"J' ai toujours utilisé la rue près de chez moi et non la route, car _ était toujours plus fréquentée.",la rue,la route,B
pr_fr_000053,Susan a pris la décision de monter dans un avion au lieu du train pour se rendre à Miami parce que _ voyage vite.,l' avion,le train,A
pr_fr_000054,Susan a pris la décision de monter dans un avion au lieu du train pour aller à Miami parce que _ roule lentement.,le train,l' avion,A
pr_fr_000055,"Bob a essayé d' insérer sa carte dans la fente, mais _ était trop large.",la carte,la fente,A
pr_fr_000056,"Bob a essayé d' insérer sa carte dans la fente, mais _ était trop étroite.",la fente,la carte,A
pr_fr_000057,Jill a versé tout le sac de farine dans le bol jusqu' à ce que _ soit vide.,le bol,le sac,B
pr_fr_000058,Jill versa tout le sac de farine dans le bol de mixage jusqu' à ce que _ soit plein.,le bol,le sac,A
pr_fr_000059,"Wanda a décidé de boire de la bière sur de la vodka pour la fête du collège, car _ la rendait toujours malade.",la bière,la vodka,B
pr_fr_000060,"Wanda a décidé de boire de la bière sur de la vodka pour la fête du collège, car _ la faisait toujours se sentir bien.",la bière,la vodka,A
pr_fr_000061,"Au fur et à mesure de la rénovation de la maison, la toiture a dû être changée car _ était ancienne.",la maison,la toiture,B
pr_fr_000062,"Au fur et à mesure de la rénovation de la maison, la toiture a dû être changée car _ était moderne.",la toiture,la maison,B
pr_fr_000063,"Il aimait nettoyer le sol avec une vadrouille plutôt qu' avec une éponge, car _ finissait toujours par laisser des traces.",la vadrouille,l' éponge,B
pr_fr_000064,"Il aimait nettoyer le sol avec une vadrouille plutôt qu' avec une éponge, même si _ finissait toujours par laisser des traces.",la vadrouille,l' éponge,A
pr_fr_000065,"Les deux garçons ont planifié un jeu puis sont allés le dessiner sur le papier, mais ont vite compris que _ était trop complexe.",le papier,le jeu,B
pr_fr_000066,"Les deux garçons ont planifié un jeu puis sont allés le dessiner sur le papier, mais ont rapidement réalisé que _ était trop petit.",le jeu,le papier,B
pr_fr_000067,Le théâtre a toujours fait beaucoup mieux que le cinéma car _ était très populaire en ville.,le théâtre,le cinéma,A
pr_fr_000068,Le théâtre a toujours fait beaucoup mieux que le cinéma car _ était très mort en ville.,le cinéma,le théâtre,A
pr_fr_000069,Le garçon voulait faire du vélo au travail mais _ était trop loin.,le vélo,le travail,B
pr_fr_000070,Le garçon voulait faire du vélo au travail mais _ était trop vieux.,le vélo,le travail,A
pr_fr_000071,Le manuel est toujours meilleur qu' un catalogue car _ est spécifique à ce dont vous avez besoin.,le manuel,le catalogue,A
pr_fr_000072,Le manuel est toujours meilleur qu' un catalogue car _ n' est pas spécifique à ce dont vous avez besoin.,le manuel,le catalogue,B
pr_fr_000073,"Quand je l' ai vu dans le masque, j' ai ressenti plus d' émotion que lorsqu' il portait le chapeau, car _ était très effrayant.",le chapeau,le masque,B
pr_fr_000074,"Quand je l' ai vu dans le masque, j' ai ressenti plus d' émotion que lorsqu' il portait le chapeau, car _ était très normal.",le chapeau,le masque,A
pr_fr_000075,James ne peut jamais savoir ce qui a été écrit sur l' enveloppe dans la boîte car seule _ est visible.,la boîte,l' enveloppe,A
pr_fr_000076,James ne peut jamais savoir ce qui a été écrit sur l' enveloppe dans la boîte car seule _ est cachée.,la boîte,l' enveloppe,B
pr_fr_000077,"L' homme a utilisé la corde au lieu de la vigne pour survivre, car _ était faible.",la corde,la vigne,B
pr_fr_000078,"L' homme a utilisé la corde au lieu de la vigne pour survivre, car _ était solide.",la vigne,la corde,B
pr_fr_000079,"La femme avait plus de succès à lancer la hache que la fléchette, car _ était facile à viser.",la hache,la fléchette,A
pr_fr_000080,"La femme avait plus de succès à lancer la hache que la fléchette, car _ était difficile à viser.",la hache,la fléchette,B
pr_fr_000081,L' argent ne pouvait pas être utilisé comme monnaie au magasin car _ n' était pas local.,l' argent,le magasin,A
pr_fr_000082,L' argent ne pouvait pas être utilisé comme monnaie au magasin car _ n' était pas étranger.,le magasin,l' argent,A
pr_fr_000083,"L' entrepreneur voulait construire un nouveau bâtiment sur le terrain, mais _ était trop petit.",le bâtiment,le terrain,B
pr_fr_000084,L' entrepreneur voulait construire un nouveau bâtiment sur le terrain mais _ était trop grand.,le bâtiment,le terrain,A
pr_fr_000085,"Après le divorce, l' homme dort sur le canapé au lieu du lit car _ est plus confortable.",le lit,le canapé,B
pr_fr_000086,"Après le divorce, l' homme dort sur le canapé au lieu du lit bien que _ soit plus confortable.",le lit,le canapé,A
pr_fr_000087,"John soupçonnait que le porc, et non le hamburger, lui avait donné une intoxication alimentaire, parce que _ avait été mal cuit.",le hamburger,le porc,B
pr_fr_000088,"John soupçonnait que le porc, et non le hamburger, lui avait donné une intoxication alimentaire, parce que _ avait été correctement cuit.",le porc,le hamburger,B
pr_fr_000089,L' industrieuse éleveuse de poulets a pris les œufs du nid et les a mis dans son panier jusqu' à ce que _ soit plein.,le panier,le nid,A
pr_fr_000090,L' industrieuse éleveuse de poulets a pris les œufs du nid et les a mis dans son panier jusqu' à ce que _ soit vide.,le panier,le nid,B
pr_fr_000091,Le pistolet était plus silencieux que le fusil de chasse au moment du tir parce que _ de chasse était plus puissant.,le fusil,le pistolet,A
pr_fr_000092,Le pistolet était plus fort que le fusil de chasse au moment du tir parce que _ était plus puissant.,le fusil,le pistolet,B
pr_fr_000093,J' ai pris un livre au magasin sur la façon de trouver l' amour à 50 ans mais _ était trop vieux.,le livre,le magasin,A
pr_fr_000094,J' ai pris un livre au magasin sur la façon de trouver l' amour à 50 ans mais _ était trop bondé.,le livre,le magasin,B
pr_fr_000095,Jennifer prit la nourriture du sac et la mit dans le garde-manger jusqu' à ce que _ soit plein.,le sac,le garde-manger,B
pr_fr_000096,Jennifer a pris la nourriture du sac et l' a mise dans le garde-manger jusqu' à ce que _ soit vide.,le garde-manger,le sac,B
pr_fr_000097,"Adam a été convoqué à comparaître devant le tribunal pour témoigner au procès, mais l' avocat a demandé une suspension et _ a été retardé.",le tribunal,le procès,B
pr_fr_000098,"Adam a été convoqué à comparaître devant le tribunal pour témoigner au procès, mais l' avocat a demandé une suspension et _ a été évacué.",le tribunal,le procès,A
pr_fr_000099,Mon marteau que je viens d' acheter était meilleur que le tournevis car _ était le bon outil pour le travail.,le marteau,le tournevis,A
pr_fr_000100,Mon marteau que je viens d' acheter était meilleur que le tournevis car _ n' était pas le bon outil pour le travail.,le tournevis,le marteau,A
pr_fr_000101,Le choix du tissu pour les vêtements au lieu d' utiliser un composite a été fait parce que _ était pliable.,le composite,le tissu,B
pr_fr_000102,Le choix du tissu pour les vêtements au lieu d' utiliser un composite a été fait parce que _ était rigide.,le tissu,le composite,B
pr_fr_000103,"Par une chaude journée d' été, Kai a étudié dans la baignoire après que la climatisation de la bibliothèque se soit cassée, _ était chaude.",la bibliothèque,la baignoire,A
pr_fr_000104,"Par une chaude journée d' été, Kai a étudié dans la baignoire après que la climatisation de la bibliothèque se soit cassée, _ était fraîche.",la baignoire,la bibliothèque,A
pr_fr_000105,"Voulant se tenir au courant de l' actualité, l' homme a choisi de lire le magazine plutôt que le journal, car _ était récent.",le journal,le magazine,B
pr_fr_000106,"Voulant se tenir au courant de l' actualité, l' homme a choisi de lire le magazine plutôt que le journal, car _ n' était pas à jour.",le journal,le magazine,A
pr_fr_000107,"Le muffin était moins délicieux que le gâteau, car _ était fait par un boulanger débutant.",le gâteau,le muffin,B
pr_fr_000108,"Le muffin était moins délicieux que le gâteau, car _ était fait par un boulanger professionnel.",le gâteau,le muffin,A
pr_fr_000109,"La pile d' argent de Jill qu' elle recevait ne rentrerait pas dans son portefeuille, _ était trop large.",l' argent,le portefeuille,A
pr_fr_000110,"La pile d' argent de Jill qu' elle recevait ne rentrerait pas dans son portefeuille, _ était trop étroit.",l' argent,le portefeuille,B
pr_fr_000111,"La rose se fanait dans le jardin, mais poussait de bon cœur dans le pot, car _ manquait de nutriments.",le pot,le jardin,B
pr_fr_000112,"La rose se fanait dans le jardin, mais poussait chaleureusement dans le pot, car _ était abondant en nutriments.",le pot,le jardin,A
pr_fr_000113,"La chambre a dû faire remplacer le bureau par le nouveau placard, car _ était trop rempli pour tous les nouveaux vêtements.",le bureau,le placard,A
pr_fr_000114,"La chambre a dû faire remplacer le bureau par le nouveau placard, car _ était très spacieux pour tous les nouveaux vêtements.",le bureau,le placard,B
pr_fr_000115,"J' ai essayé de verser l' eau dans la bouteille, mais je ne pouvais pas le faire parce que _ était trop.",la bouteille,l' eau,B
pr_fr_000116,"J' ai essayé de verser l' eau dans la bouteille, mais je n' ai pas pu le faire parce que _ était trop petite.",la bouteille,l' eau,A
pr_fr_000117,"Yohan voulait suivre un cours au collège sur les données structurées des outils pour les webmasters, mais _ était trop loin.",le collège,le cours,A
pr_fr_000118,"Yohan voulait suivre un cours au collège sur les données structurées des outils pour les webmasters, mais _ était trop difficile.",le cours,le collège,A
