item_id,answer,confidence
pr_ru_000035,B,5
pr_ru_000036,B,5
pr_ru_000071,A,5
pr_ru_000072,A,5
pr_ru_000095,B,5
pr_ru_000096,A,4
pr_ru_000103,A,5
pr_ru_000145,A,5
pr_ru_000205,B,5
pr_ru_000206,B,5
pr_ru_000213,A,5
pr_ru_000214,B,4
pr_ru_000233,A,5
pr_ru_000282,B,5
pr_ru_000336,B,5
pr_ru_000337,A,5
pr_ru_000362,B,5
pr_ru_000443,B,5
pr_ru_000535,B,5
pr_ru_000573,A,5
pr_ru_000574,A,5
pr_ru_000727,A,4
pr_ru_000769,A,5
pr_ru_000770,A,5
pr_ru_000812,B,4
pr_ru_000872,B,5
pr_ru_000873,B,5
pr_ru_000909,B,5
pr_ru_000910,B,5
pr_ru_000911,B,5
pr_ru_000944,A,5
pr_ru_000945,B,5
pr_ru_000979,B,5
pr_ru_000980,B,5
pr_ru_001017,A,5
pr_ru_001018,A,5
pr_ru_001027,A,5
pr_ru_001028,A,5
pr_ru_001064,B,4
pr_ru_001065,A,4
pr_ru_001146,B,5
pr_ru_001213,A,4
pr_ru_001265,A,5
pr_ru_001266,A,5
pr_ru_001297,A,5
pr_ru_001298,A,5
pr_ru_001378,A,5
pr_ru_001388,B,4
pr_ru_001396,A,4
pr_ru_001456,A,5
pr_ru_000008,A,5
pr_ru_000117,B,5
pr_ru_000273,A,4
pr_ru_000304,A,5
pr_ru_000352,REFUSE,1
pr_ru_000367,A,4
pr_ru_000392,A,4
pr_ru_000719,B,4
pr_ru_000833,A,4
pr_ru_000899,A,5
pr_ru_001262,A,5
pr_ru_001329,A,5
pr_ru_001335,B,4
pr_ru_001395,B,5
pr_ru_001431,B,4
pr_ru_001441,B,5
