id,predicted_label
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,1
