original_file,task,language,source_out,inference_out,full_out,row_count,notes
srijon/data/Pronoun Resolution English.xlsx,pronoun_resolution,en,srijon-2.0/pronoun_resolution/en/source/en_master.csv,srijon-2.0/pronoun_resolution/en/inference/en_master_inference.csv,srijon-2.0/pronoun_resolution/en/full/en_master_full.csv,10234,"WinoGrande English. Single 'sentence' column only — no option1/option2 in source file. Inference schema: item_id, sentence. Gold labels not present; model_prediction column added as placeholder."
srijon/data/Pronoun Resolution French.xlsx,pronoun_resolution,fr,srijon-2.0/pronoun_resolution/fr/source/fr_master.csv,srijon-2.0/pronoun_resolution/fr/inference/fr_master_inference.csv,srijon-2.0/pronoun_resolution/fr/full/fr_master_full.csv,2793,"Wino-X French. Columns renamed: context→sentence, option1→option_a, option2→option_b. Mojibake repair applied (latin-1→utf-8). No gold labels in source. model_prediction placeholder added."
srijon/data/Pronoun Resolution German.xlsx,pronoun_resolution,de,srijon-2.0/pronoun_resolution/de/source/de_master.csv,srijon-2.0/pronoun_resolution/de/inference/de_master_inference.csv,srijon-2.0/pronoun_resolution/de/full/de_master_full.csv,5835,"Wino-X German. Columns renamed: context→sentence, option1→option_a, option2→option_b. Mojibake repair applied (latin-1→utf-8). No gold labels in source. model_prediction placeholder added."
srijon/data/Pronoun Resolution Russian.xlsx,pronoun_resolution,ru,srijon-2.0/pronoun_resolution/ru/source/ru_master.csv,srijon-2.0/pronoun_resolution/ru/inference/ru_master_inference.csv,srijon-2.0/pronoun_resolution/ru/full/ru_master_full.csv,1487,"Wino-X Russian. Columns renamed: context→sentence, option1→option_a, option2→option_b. No gold labels in source. model_prediction placeholder added."
srijon/data/Presuppositions English.xlsx,presuppositions,en,srijon-2.0/presuppositions/en/source/en_master.csv,srijon-2.0/presuppositions/en/inference/en_master_inference.csv,srijon-2.0/presuppositions/en/full/en_master_full.csv,6981,"Source format: xlsx→csv. Columns: premise, hypothesis. No gold labels in source file — gold_label column added as placeholder. Label scheme when populated: E=Entailment, N=Neutral, C=Contradiction (XNLI: 0/1/2; CONFER: E/N/C)."
srijon/data/Presuppositions French.csv,presuppositions,fr,srijon-2.0/presuppositions/fr/source/fr_master.csv,srijon-2.0/presuppositions/fr/inference/fr_master_inference.csv,srijon-2.0/presuppositions/fr/full/fr_master_full.csv,5010,"Source format: csv. Columns: premise, hypothesis. No gold labels in source file — gold_label column added as placeholder. Label scheme when populated: E=Entailment, N=Neutral, C=Contradiction (XNLI: 0/1/2; CONFER: E/N/C)."
srijon/data/Presuppositions German.csv,presuppositions,de,srijon-2.0/presuppositions/de/source/de_master.csv,srijon-2.0/presuppositions/de/inference/de_master_inference.csv,srijon-2.0/presuppositions/de/full/de_master_full.csv,5010,"Source format: csv. Columns: premise, hypothesis. No gold labels in source file — gold_label column added as placeholder. Label scheme when populated: E=Entailment, N=Neutral, C=Contradiction (XNLI: 0/1/2; CONFER: E/N/C)."
srijon/data/Presuppositions Hindi.csv,presuppositions,hi,srijon-2.0/presuppositions/hi/source/hi_master.csv,srijon-2.0/presuppositions/hi/inference/hi_master_inference.csv,srijon-2.0/presuppositions/hi/full/hi_master_full.csv,5010,"Source format: csv. Columns: premise, hypothesis. No gold labels in source file — gold_label column added as placeholder. Label scheme when populated: E=Entailment, N=Neutral, C=Contradiction (XNLI: 0/1/2; CONFER: E/N/C)."
srijon/data/Presuppositions Russian.csv,presuppositions,ru,srijon-2.0/presuppositions/ru/source/ru_master.csv,srijon-2.0/presuppositions/ru/inference/ru_master_inference.csv,srijon-2.0/presuppositions/ru/full/ru_master_full.csv,5010,"Source format: csv. Columns: premise, hypothesis. No gold labels in source file — gold_label column added as placeholder. Label scheme when populated: E=Entailment, N=Neutral, C=Contradiction (XNLI: 0/1/2; CONFER: E/N/C)."
srijon/data/Presuppositions Vietnamese.csv,presuppositions,vi,srijon-2.0/presuppositions/vi/source/vi_master.csv,srijon-2.0/presuppositions/vi/inference/vi_master_inference.csv,srijon-2.0/presuppositions/vi/full/vi_master_full.csv,5010,"Source format: csv. Columns: premise, hypothesis. No gold labels in source file — gold_label column added as placeholder. Label scheme when populated: E=Entailment, N=Neutral, C=Contradiction (XNLI: 0/1/2; CONFER: E/N/C)."
srijon/data/Lemmas English.xlsx,lemmatization,en,srijon-2.0/lemmatization/en/source/en_master.csv,srijon-2.0/lemmatization/en/inference/en_master_inference.csv,srijon-2.0/lemmatization/en/full/en_master_full.csv,115523,UniMorph English inflections. Original file had first data row ('3rded') misread as column header; fixed by reading with header=None. Single 'word' column — no gold lemma in file. gold_lemma must be joined from the full UniMorph corpus externally. model_lemma placeholder added.
