item_id,sentence,option_a,option_b,gold_answer,model_prediction,correct
pr_fr_000019,"Percy va au parc sur son vélo plutôt que sur le train, car _ le fait y aller plus lentement.",le train,le vélo,A,,
pr_fr_000103,"Par une chaude journée d' été, Kai a étudié dans la baignoire après que la climatisation de la bibliothèque se soit cassée, _ était chaude.",la bibliothèque,la baignoire,A,,
pr_fr_000182,Le spectacle était beaucoup plus merveilleux que le dessin animé parce que _ animé était très ennuyeux.,le dessin,le spectacle,A,,
pr_fr_000233,"Le circuit n' a pas réussi à alimenter la télévision mais a maintenu la radio en marche, car _ avait une connexion faible.",la radio,la télévision,B,,
pr_fr_000247,"La durée de la réunion était beaucoup plus longue que la présentation précédente, car _ était plus détaillée.",la présentation,la réunion,B,,
pr_fr_000255,"Tout le papier que j' ai reçu de l' école ne rentrerait pas dans le dossier, parce que _ était trop épais.",le dossier,le papier,B,,
pr_fr_000269,L' homme a essayé d' installer l' écran sur le mur mais _ était trop court.,l' écran,le mur,B,,
pr_fr_000282,J' ai jeté le verre contre le mur et il s' est cassé parce que _ est trop faible.,le mur,le verre,B,,
pr_fr_000299,"Le marché n' a pas duré dans notre quartier comme le salon, car _ était toujours vide.",le marché,le salon,A,,
pr_fr_000431,J' allais toujours au bar et pas au club car _ était beaucoup plus proche de chez moi.,le club,le bar,B,,
pr_fr_000436,La jeune fille a essayé d' utiliser la crème pour éliminer l' hyperpigmentation mais _ était trop faible.,la crème,l' hyperpigmentation,A,,
pr_fr_000475,L' enfant se concentrait sur la lecture au lieu de prêter attention à la télévision car _ était importante.,la lecture,la télévision,A,,
pr_fr_000485,Il était plus facile de décomposer le plastique que le verre dans ce cas pour le recyclage car _ était plutôt cassant.,le plastique,le verre,A,,
pr_fr_000526,Le mur a mis plus de temps à peindre que le plafond car _ couvrait une zone plus petite.,le mur,le plafond,B,,
pr_fr_000547,L' athlète devait se préparer pour la compétition finale avec son uniforme mais pas son casque car _ était avec lui.,le casque,l' uniforme,B,,
pr_fr_000550,La sorcière a essayé d' écrire le sort dans le livre mais _ était trop petit.,le livre,le sort,A,,
pr_fr_000570,"Quand il était temps de partir, nous prenions le train au lieu du taxi car _ mettrait moins de temps à rentrer à la maison.",le train,le taxi,A,,
pr_fr_000576,Elle voulait lire l' histoire à sa classe de première année mais _ était trop bruyante.,la classe,l' histoire,A,,
pr_fr_000627,L' abricot orange ne rentrera pas dans le pot car _ est trop large.,l' abricot,le pot,A,,
pr_fr_000632,Jameson est allé au DMV pour obtenir sa licence et a porté le chapeau pour la photo mais a laissé le nœud papillon parce que _ était étrange.,le chapeau,le papillon,B,,
pr_fr_000640,"L' eau bout bien sur le poêle mais pas sur le feu ouvert, car _ a une chaleur insuffisante.",le feu,le poêle,A,,
pr_fr_000659,Le chef a essayé de mettre le pruneau dans le verre mais _ était trop gros.,le pruneau,le verre,A,,
pr_fr_000685,"Le blocage provenait du robinet, pas du tuyau, car _ avait été nettoyé de manière irrégulière.",le robinet,le tuyau,A,,
pr_fr_000699,Pam aimait plus lire le livre de fiction que lire le magazine parce que _ était beaucoup plus ennuyeux.,le magazine,le livre,A,,
pr_fr_000706,"Son imagination s' est déchaînée dans le parc, mais s' est endormie sur le sentier, car il pensait que _ était blasé.",le sentier,le parc,A,,
pr_fr_000710,"L' homme a essayé d' écrire le plan sur un morceau de papier, mais _ était trop petit.",le plan,le papier,B,,
pr_fr_000748,Le toit de la propriété a été emporté par l' ouragan parce que _ est fort.,l' ouragan,le toit,A,,
pr_fr_000766,Les dossiers médicaux étaient stockés sur disque au lieu de papier car _ était plus douteux.,le papier,le disque,A,,
pr_fr_000815,"L' aspirateur de la femme fonctionnait beaucoup mieux sur le tapis que le balai, car _ était puissant.",l' aspirateur,le balai,A,,
pr_fr_000817,Le mannequin a mis la lotion sur sa peau sèche mais _ était trop dure.,la peau,la lotion,A,,
pr_fr_000850,La fumée de l' encens a rempli toute la pièce et a commencé à étouffer les gens parce que _ est trop petite.,la pièce,la fumée,A,,
pr_fr_000897,"Basé sur le petit budget de James, il a choisi de se rendre en Grande-Bretagne en train et non en avion car _ est plus coûteux.",le train,le vol,B,,
pr_fr_000909,Clare et David ont décidé d' aller au cinéma plutôt qu' au théâtre parce que _ n' avait pas l' air intéressant.,le film,le théâtre,B,,
pr_fr_000933,L' entraîneur a essayé de mettre la voiture sur la piste mais _ était trop grande.,la voiture,la piste,A,,
pr_fr_000982,Je n' ai pas pu utiliser le mot dans le titre de mon livre car _ était très long.,le titre,le mot,B,,
pr_fr_000995,"Le projet que j' ai entrepris cette année était meilleur que mon travail de l' année dernière, car _ était plus difficile.",le projet,le travail,B,,
pr_fr_001021,"Il a lancé le ballon vers le cerceau, mais il l' a raté, car _ était trop loin.",le ballon,le cerceau,B,,
pr_fr_001039,Le logiciel fonctionnait beaucoup mieux que l' ancien programme car _ était conçu par des professionnels.,le programme,le logiciel,B,,
pr_fr_001045,L' homme a essayé de mettre le dossier sur le support mais _ était trop petit.,le dossier,le support,B,,
pr_fr_001070,Il faisait chaud dans le placard mais froid au sous-sol car _ faisait fonctionner un radiateur.,le placard,le sous-sol,A,,
