form,lemma,irregular,changed,ambiguous,rare,easy,subgroup
What,what,False,False,False,False,True,easy
if,if,True,False,False,False,False,irregular
Google,Google,False,False,True,False,False,ambiguous
Morphed,morph,False,True,False,False,False,changed
Into,into,False,False,False,False,True,easy
GoogleOS,GoogleOS,False,False,False,True,False,rare
?,?,True,False,False,False,False,irregular
What,what,False,False,False,False,True,easy
if,if,True,False,False,False,False,irregular
Google,Google,False,False,True,False,False,ambiguous
expanded,expand,False,True,False,False,False,changed
on,on,True,False,False,False,False,irregular
its,its,False,False,False,False,True,easy
search,search,False,False,False,False,True,easy
-,-,True,False,False,False,False,irregular
engine,engine,False,False,False,False,True,easy
(,(,True,False,False,False,False,irregular
and,and,False,False,False,False,True,easy
now,now,False,False,False,False,True,easy
e-mail,e-mail,False,False,False,False,True,easy
),),True,False,False,False,False,irregular
wares,wares,False,False,False,True,False,rare
into,into,False,False,False,False,True,easy
a,a,True,False,True,False,False,irregular
full,full,False,False,False,False,True,easy
-,-,True,False,False,False,False,irregular
fledged,fledged,False,False,False,True,False,rare
operating,operating,False,False,False,True,False,rare
system,system,False,False,False,False,True,easy
?,?,True,False,False,False,False,irregular
[,[,True,False,False,False,False,irregular
via,via,False,False,False,False,True,easy
Microsoft,Microsoft,False,False,False,False,True,easy
Watch,Watch,False,False,False,True,False,rare
from,from,False,False,False,False,True,easy
Mary,Mary,False,False,False,False,True,easy
Jo,Jo,True,False,False,True,False,irregular
Foley,Foley,False,False,False,True,False,rare
],],True,False,False,False,False,irregular
(,(,True,False,False,False,False,irregular
And,and,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
by,by,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
way,way,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
is,be,True,True,False,False,False,irregular
anybody,anybody,False,False,False,False,True,easy
else,else,False,False,False,False,True,easy
just,just,False,False,False,False,True,easy
a,a,True,False,True,False,False,irregular
little,little,False,False,False,False,True,easy
nostalgic,nostalgic,False,False,False,True,False,rare
for,for,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
days,day,False,True,False,False,False,changed
when,when,False,False,False,False,True,easy
that,that,False,False,False,False,True,easy
was,be,True,True,False,False,False,irregular
a,a,True,False,True,False,False,irregular
good,good,False,False,False,False,True,easy
thing,thing,False,False,False,False,True,easy
?,?,True,False,False,False,False,irregular
),),True,False,False,False,False,irregular
This,this,False,False,False,False,True,easy
BuzzMachine,BuzzMachine,False,False,False,True,False,rare
post,post,False,False,False,False,True,easy
argues,argue,False,True,False,True,False,rare
that,that,False,False,False,False,True,easy
Google,Google,False,False,True,False,False,ambiguous
's,'s,True,False,True,False,False,irregular
rush,rush,False,False,False,False,True,easy
toward,toward,False,False,False,False,True,easy
ubiquity,ubiquity,False,False,False,True,False,rare
might,might,False,False,False,False,True,easy
backfire,backfire,False,False,False,True,False,rare
--,--,True,False,False,False,False,irregular
which,which,False,False,False,False,True,easy
we,we,True,False,False,False,False,irregular
've,have,True,True,False,False,False,irregular
all,all,False,False,False,False,True,easy
heard,hear,False,True,False,False,False,changed
before,before,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
but,but,False,False,False,False,True,easy
it,it,True,False,False,False,False,irregular
's,be,True,True,True,False,False,irregular
particularly,particularly,False,False,False,False,True,easy
well,well,False,False,False,False,True,easy
-,-,True,False,False,False,False,irregular
put,put,False,False,False,False,True,easy
in,in,True,False,False,False,False,irregular
this,this,False,False,False,False,True,easy
post,post,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Google,Google,False,False,True,False,False,ambiguous
is,be,True,True,False,False,False,irregular
a,a,True,False,True,False,False,irregular
nice,nice,False,False,False,False,True,easy
search,search,False,False,False,False,True,easy
engine,engine,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Does,do,True,True,False,False,False,irregular
anybody,anybody,False,False,False,False,True,easy
use,use,False,False,False,False,True,easy
it,it,True,False,False,False,False,irregular
for,for,False,False,False,False,True,easy
anything,anything,False,False,False,False,True,easy
else,else,False,False,False,False,True,easy
?,?,True,False,False,False,False,irregular
They,they,False,False,False,False,True,easy
own,own,False,False,False,False,True,easy
blogger,blogger,False,False,False,True,False,rare
",",",",True,False,False,False,False,irregular
of,of,True,False,False,False,False,irregular
course,course,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Is,be,True,True,False,False,False,irregular
that,that,False,False,False,False,True,easy
a,a,True,False,True,False,False,irregular
money,money,False,False,False,False,True,easy
maker,maker,False,False,False,False,True,easy
?,?,True,False,False,False,False,irregular
I,I,True,False,False,False,False,irregular
'm,be,True,True,False,False,False,irregular
staying,stay,False,True,False,False,False,changed
away,away,False,False,False,False,True,easy
from,from,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
stock,stock,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
I,I,True,False,False,False,False,irregular
doubt,doubt,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
very,very,False,False,False,False,True,easy
few,few,False,False,False,False,True,easy
who,who,False,False,False,False,True,easy
actually,actually,False,False,False,False,True,easy
read,read,False,False,False,False,True,easy
my,my,True,False,True,False,False,irregular
blog,blog,False,False,False,False,True,easy
have,have,False,False,False,False,True,easy
not,not,False,False,False,False,True,easy
come,come,False,False,False,False,True,easy
across,across,False,False,False,False,True,easy
this,this,False,False,False,False,True,easy
yet,yet,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
but,but,False,False,False,False,True,easy
I,I,True,False,False,False,False,irregular
figured,figure,False,True,False,False,False,changed
I,I,True,False,False,False,False,irregular
would,would,False,False,False,False,True,easy
put,put,False,False,False,False,True,easy
it,it,True,False,False,False,False,irregular
out,out,False,False,True,False,False,ambiguous
there,there,False,False,True,False,False,ambiguous
anyways,anyways,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
John,John,False,False,True,False,False,ambiguous
Donovan,Donovan,False,False,False,True,False,rare
from,from,False,False,False,False,True,easy
Argghhh!,Argghhh!,False,False,False,True,False,rare
has,have,True,True,False,False,False,irregular
put,put,False,False,False,False,True,easy
out,out,False,False,True,False,False,ambiguous
a,a,True,False,True,False,False,irregular
excellent,excellent,False,False,False,False,True,easy
slide,slide,False,False,False,False,True,easy
show,show,False,False,False,False,True,easy
on,on,True,False,False,False,False,irregular
what,what,False,False,False,False,True,easy
was,be,True,True,False,False,False,irregular
actually,actually,False,False,False,False,True,easy
found,find,True,True,False,False,False,irregular
