sample_id,id,segmentation
1,1,-
1,2,-
1,3,-
1,4,scumball|s
1,5,misformat|ed
1,6,-
1,7,debase|ed
1,8,-
1,9,phut|ed
1,10,-
1,11,-
1,12,-
1,13,"""softly|"""
1,14,-
1,15,-
1,16,mucluc|s
1,17,-
1,18,-
1,19,flyblow|ing
1,20,-
1,21,mudpuddle|ed
1,22,-
1,23,-
1,24,foresnaffle|ing
1,25,-
1,26,-
1,27,-
1,28,blagger|s
1,29,evite|ing
1,30,rhyme|ing
1,31,-
1,32,degafiate|ed
1,33,-
1,34,-
1,35,-
1,36,-
1,37,roster|s
1,38,-
1,39,sutra|s
1,40,blirt|ed
1,41,-
1,42,-
1,43,-
1,44,cybernat|s
1,45,skive|ed
1,46,blacktip|s
1,47,mesocuneiform|s
1,48,-
1,49,-
1,50,remigrate|s
1,51,præsage|ed
1,52,hypnum|s
1,53,-
1,54,gemoot|s
1,55,-
1,56,despeed|ing
1,57,colloque|ed
1,58,-
1,59,-
1,60,-
1,61,shadecloth|s
1,62,-
1,63,-
1,64,-
1,65,-
1,66,-
1,67,-
1,68,-
1,69,-
1,70,-
1,71,cristid|s
1,72,minty|er
1,73,milkshake|ing
1,74,resubdue|s
1,75,-
1,76,-
1,77,-
1,78,spill|ed
1,79,-
1,80,-
1,81,jeopardise|s
1,82,-
1,83,-
1,84,-
1,85,timeline|ing
1,86,pronormoblast|s
1,87,-
1,88,repicture|ed
1,89,dereligionize|ing
1,90,-
1,91,wiredrawer|s
1,92,-
1,93,-
1,94,-
1,95,leucitoid|s
1,96,spoony|est
1,97,recopier|s
1,98,wex|ed
1,99,-
1,100,counterfeit|ed
1,101,-
1,102,kazan|s
1,103,visit|s
1,104,behold|s
1,105,-
1,106,-
1,107,-
1,108,-
1,109,connaturalise|ed
1,110,simple|ed
1,111,-
1,112,-
1,113,-
1,114,-
1,115,texturize|ed
1,116,-
1,117,hire|ed
1,118,-
1,119,-
1,120,-
1,121,neuroketal|s
1,122,inventory|ing
1,123,-
1,124,-
1,125,upflow|ing
1,126,zest|ed
1,127,-
1,128,-
1,129,tame|est
1,130,-
1,131,-
1,132,-
1,133,unglaze|ing
1,134,recentrifuge|ing
1,135,pseudonormalise|ed
1,136,rerandomise|ed
1,137,-
1,138,-
1,139,-
1,140,-
1,141,shammy|ing
1,142,-
1,143,-
1,144,-
1,145,-
1,146,-
1,147,isotonize|s
1,148,-
1,149,-
1,150,-
1,151,biallelism|s
1,152,syphon|ed
1,153,-
1,154,-
1,155,-
1,156,hyperalbuminuria|s
1,157,-
1,158,-
1,159,semiamplitude|s
1,160,-
1,161,-
1,162,-
1,163,-
1,164,-
1,165,recombine|ed
1,166,-
1,167,overstrew|s
1,168,-
1,169,-
1,170,-
1,171,splatbook|s
1,172,-
1,173,brode|ing
1,174,-
1,175,-
1,176,fag|s
1,177,conjunct|s
1,178,-
1,179,residualise|ed
1,180,bottle|ed
1,181,-
1,182,-
2,1,-
2,2,cybergame|s
2,3,-
2,4,-
2,5,-
2,6,-
2,7,pyrido|s
2,8,arginyl|s
2,9,-
2,10,-
2,11,-
2,12,trifacial|s
2,13,-
2,14,-
2,15,-
2,16,-
2,17,-
2,18,-
2,19,rumormonger|s
2,20,sauté|ed
2,21,-
2,22,-
2,23,-
2,24,-
2,25,-
2,26,-
2,27,-
2,28,-
2,29,terrorize|ing
2,30,creepify|ing
2,31,-
2,32,snash|ed
2,33,-
2,34,-
2,35,microvacuole|s
2,36,-
2,37,-
2,38,dildo|ed
2,39,reek|ed
2,40,-
2,41,-
2,42,molcajete|s
2,43,-
2,44,-
2,45,-
2,46,-
2,47,-
2,48,-
2,49,-
2,50,-
2,51,-
2,52,-
2,53,-
2,54,-
2,55,-
2,56,-
2,57,dominator|s
2,58,acquittance|s
2,59,-
2,60,-
2,61,"""softly|"""
2,62,-
2,63,-
2,64,playfight|ing
2,65,-
2,66,-
2,67,bosom|ed
2,68,selfpub|ing
2,69,untame|ed
2,70,quasidistribution|s
2,71,-
2,72,-
2,73,mistranslate|s
2,74,-
2,75,sand|s
2,76,-
2,77,-
2,78,-
2,79,forsythia|s
2,80,-
2,81,manhandle|ing
2,82,-
2,83,torace|s
2,84,-
2,85,thiuret|s
2,86,-
2,87,-
2,88,aucupate|ed
2,89,-
2,90,-
2,91,reconcatenate|ed
2,92,comprimario|s
2,93,-
2,94,pokelogan|s
2,95,prototheorid|s
2,96,overdiagnose|ing
2,97,-
2,98,-
2,99,-
2,100,-
2,101,-
2,102,-
2,103,poof|ed
2,104,crevice|ed
2,105,-
2,106,reesterify|ed
2,107,-
2,108,-
2,109,-
2,110,binarise|ed
2,111,-
2,112,hade|ing
2,113,acronymize|s
2,114,-
2,115,cave|ing
2,116,tabour|ing
2,117,-
2,118,outmanoeuvre|ed
2,119,overurge|ed
2,120,-
2,121,-
2,122,-
2,123,-
2,124,-
2,125,-
2,126,-
2,127,dimerise|ed
2,128,-
2,129,-
2,130,recarnify|ing
2,131,rockstack|s
2,132,-
2,133,-
2,134,oligotrimer|s
2,135,-
2,136,-
2,137,-
2,138,-
2,139,begonia|s
2,140,-
2,141,fullfreme|s
2,142,-
2,143,forcleave|ing
2,144,-
2,145,capsize|ed
2,146,kludge|s
2,147,-
2,148,stichtite|s
2,149,fraternalise|ed
2,150,debrancher|s
2,151,-
2,152,servant|ing
2,153,canoodle|s
2,154,brosky|s
2,155,-
2,156,jumboise|s
2,157,-
2,158,-
2,159,-
2,160,allotropize|ing
2,161,-
2,162,-
2,163,-
2,164,-
2,165,ormolu|ed
2,166,-
2,167,-
2,168,-
2,169,-
2,170,lulzy|est
2,171,-
2,172,bakwan|s
2,173,segue|s
2,174,-
2,175,outdistance|ed
2,176,-
2,177,-
2,178,flangeway|s
2,179,-
2,180,-
2,181,-
2,182,vesture|ed
3,1,-
3,2,-
3,3,nuzzle|ed
3,4,pundle|s
3,5,counterregulate|ing
3,6,overassess|ing
3,7,-
3,8,-
3,9,shitpost|ing
3,10,watchglass|s
3,11,-
3,12,transparentize|s
3,13,-
3,14,interfoliate|ing
3,15,-
3,16,-
3,17,antihorizon|s
3,18,-
3,19,-
3,20,"""softly|"""
3,21,-
3,22,-
3,23,velarize|s
3,24,-
3,25,-
3,26,chaptalise|ing
3,27,-
3,28,-
3,29,-
3,30,-
3,31,seroneutralise|ing
3,32,-
3,33,-
3,34,-
3,35,-
3,36,-
3,37,-
3,38,inseminate|ed
3,39,-
3,40,-
3,41,marmalade|s
3,42,-
3,43,minitractor|s
3,44,-
3,45,-
3,46,-
3,47,-
3,48,-
3,49,centoist|s
3,50,-
3,51,-
3,52,-
3,53,bedchamber|s
3,54,-
3,55,tip|ing
3,56,-
3,57,-
3,58,-
3,59,denounce|s
3,60,disocclude|ed
3,61,-
3,62,misinvoice|ing
3,63,buff|s
3,64,-
3,65,orthography|ing
3,66,maundril|s
3,67,-
3,68,-
3,69,dendrodate|ing
3,70,-
3,71,cloacin|s
3,72,-
3,73,-
3,74,greening|s
3,75,-
3,76,-
3,77,-
3,78,craze|ed
3,79,conservatee|s
3,80,-
3,81,fissle|ing
3,82,-
3,83,-
3,84,-
3,85,-
3,86,-
3,87,-
3,88,-
3,89,crate|ed
3,90,-
3,91,-
3,92,-
3,93,-
3,94,-
3,95,-
3,96,-
3,97,undercut|s
3,98,dicking|s
3,99,-
3,100,-
3,101,razz|s
3,102,-
3,103,-
3,104,furtaker|s
3,105,wait|ed
3,106,-
3,107,premodify|ed
3,108,-
3,109,-
3,110,-
3,111,-
3,112,butler|ing
3,113,sneak|s
3,114,eluder|s
3,115,-
3,116,-
3,117,-
3,118,-
3,119,segmentate|ing
3,120,-
3,121,-
3,122,-
3,123,-
3,124,-
3,125,-
3,126,-
3,127,-
3,128,-
3,129,-
3,130,scintiscan|s
3,131,-
3,132,-
3,133,grasp|ing
3,134,picinniny|s
3,135,-
3,136,-
3,137,cleek|ed
3,138,-
3,139,-
3,140,resinize|s
3,141,-
3,142,-
3,143,-
3,144,-
3,145,-
3,146,-
3,147,hydroflask|s
3,148,upseek|s
3,149,multangular|s
3,150,-
3,151,octopus|ed
3,152,-
3,153,-
3,154,-
3,155,-
3,156,-
3,157,taring|s
3,158,-
3,159,-
3,160,chat|ed
3,161,-
3,162,fatigue|ed
3,163,-
3,164,-
3,165,-
3,166,petary|s
3,167,dishonnour|ed
3,168,obsolete|ing
3,169,-
3,170,leucosiid|s
3,171,dispensationalist|s
3,172,-
3,173,lipoate|ed
3,174,-
3,175,chromofungin|s
3,176,-
3,177,garland|s
3,178,-
3,179,biosynthesise|ing
3,180,-
3,181,-
3,182,smack|ed
