item_id,sentence,option_a,option_b,gold_answer,model_prediction,correct
pr_de_000041,"Das Café ist kein großartiger Ort, um einen Freund zu treffen, deshalb gehe ich in die Bibliothek, da _ laut ist, um sich zu treffen.",das Café,die Bibliothek,A,,
pr_de_000236,"Da er Höhenangst hatte, ging der Mann von der Treppe zur Plattform, weil _ niedriger war.",die Plattform,die Treppe,A,,
pr_de_000403,"Um einen Mann anzulocken, entschied sich die Frau, den Pullover anstelle des Hemdes zu tragen, weil _ sexy aussah.",das Hemd,der Pullover,B,,
pr_de_000407,"Während sie sich an ihrem freien Tag langweilte, beschloss Alexandria, Zeit damit zu verbringen, das Buch zu lesen und den Film nicht anzusehen, weil _ interessant war.",das Buch,der Film,A,,
pr_de_000417,"Ihr Freund bereute es, ihr eine Jacke gekauft zu haben und besorgte ihr stattdessen einen neuen Hut, da er wusste, dass sie dachte, _ passe schlecht zu ihrer Garderobe.",der Hut,die Jacke,B,,
pr_de_000437,"Die Frau nahm das Tischset vom Tisch und legte die Tischdecke ab, weil _ hässlich war.",die Tischdecke,das Tischset,B,,
pr_de_000463,"Wir entschieden uns, eher eine Wohnung als ein Haus zu mieten, da _ unseren Bedürfnissen förderlich war.",das Haus,die Wohnung,B,,
pr_de_000487,"Nancy band ein Seil um den Anker, um das Boot in der Strömung an Ort und Stelle zu halten, aber _ war zu stark.",das Seil,die Strömung,B,,
pr_de_000666,"Das Buch war der Person viel vertrauter als die Zeitschrift, weil _ üblich war.",das Buch,die Zeitschrift,A,,
pr_de_000803,"Das Baby spielte lieber mit dem Handy als mit dem Xylophon, weil _ für seinen jungen Verstand schwierig war.",das Handy,das Xylophon,B,,
pr_de_000928,"Ich hasste meine Akne viel mehr als meine Narbe, weil _ mehr versteckt war.",die Narbe,die Akne,A,,
pr_de_000969,"Nachdem er das Bleichmittel aus der Flasche in den Tank gegossen hatte, war _ leer.",der Tank,die Flasche,B,,
pr_de_001007,"Es ist besser, mit einem SUV auf einer unebenen Straße zu fahren als mit einer Limousine, da _ größere Räder hat.",die Limousine,der SUV,B,,
pr_de_001028,"Der Hut würde nicht über meine Haare passen, weil _ viel zu niedrig für mich war.",der Hut,die Haare,A,,
pr_de_001056,"Der Stuhl war ein stärkeres Möbelstück als der Tisch, da _ aus schwächerem Holz bestand.",der Tisch,der Stuhl,A,,
pr_de_001169,"Die Kinder verstanden das Material aus dem Buch nicht und der Lehrer zeigte das Video an, weil _ kompliziert war.",das Video,das Buch,B,,
pr_de_001188,"Es brauchte mehr Garn, um die Decke zu häkeln als den Hut, weil _ kleiner war.",der Hut,die Decke,A,,
pr_de_001223,"Shane goss sich die ganze Flasche Alkohol in den Mund, bis _ leer war.",die Flasche,der Mund,A,,
pr_de_001237,"Die Prothese passt nicht in den Mund, weil _ zu groß ist.",die Prothese,der Mund,A,,
pr_de_001332,"Anthony hatte ein Gemälde von einem großen Schwein, aber es passte nicht auf das Papier, _ war zu klein.",das Gemälde,das Papier,B,,
pr_de_001336,"Wir verließen den Raum, um den Test im Flur zu machen, da _ das Fokussieren erleichterte.",der Flur,der Raum,A,,
pr_de_001353,"Der Koch wollte das Bruststück in den Ofen stellen, aber _ war zu groß.",das Bruststück,der Ofen,A,,
pr_de_001393,"Ich habe die Creme auf meinem Bauch verwendet, aber nicht auf meinem Gesicht, weil _ empfindlicher war.",das Gesicht,der Bauch,A,,
pr_de_001455,"In der Nähe des Baumes saßen mehr Menschen als in der Nähe des Busches, weil _ Schatten bot.",der Baum,der Busch,A,,
pr_de_001486,"Die Wellen zerstörten die Garage, ließen das Haus aber intakt, weil _ so weit vom Ufer entfernt war.",das Haus,die Garage,A,,
pr_de_001502,"Es ist eine gute Sache, sich sowohl auf den Winter als auch auf den Sommer vorzubereiten, da _ sehr heiß sein kann.",der Sommer,der Winter,A,,
pr_de_001565,"Die beiden Umzugsunternehmen konnten das Bett in die Wohnung bringen und ließen die Couch im Lastwagen, weil _ leichter war.",das Bett,die Couch,A,,
pr_de_001596,"An einem verschneiten Tag ohne viel Verkehr ging Enzo auf der Straße statt auf dem Bürgersteig, weil _ sicher aussah.",die Straße,der Bürgersteig,A,,
pr_de_001677,"Das Auto gewann ziemlich schnell an der Rakete, da _ hochwertigen Kraftstoff hatte.",das Auto,die Rakete,A,,
pr_de_001680,"Der Mann wollte das Gepäck ins Haus stellen, aber _ war zu groß.",das Gepäck,das Haus,A,,
pr_de_001754,"Das Interview wurde aus dem Café ins Büro verlegt, da _ so komfortabel war.",das Büro,das Café,A,,
pr_de_001910,"Der Hund konnte nicht sehen, dass sich die Stange hinter dem Zaun befindet, da _ kürzer ist.",die Stange,der Zaun,A,,
pr_de_001913,"Die Pfeife wurde immer wieder geblasen, aber der Mann im See konnte das Spritzen des Wassers nur hören, weil _ näher ist.",die Pfeife,das Spritzen,B,,
pr_de_001932,"Der Helm konnte seinen Kopf nicht vor dem Projektil schützen, da _ zu stark war.",der Helm,das Projektil,B,,
pr_de_001988,"Der Eingriff musste durchgeführt werden und um die Aufmerksamkeit der Person zu erregen, musste die Flagge anstelle des Banners verwendet werden, da _ unsichtbar war.",die Flagge,das Banner,B,,
pr_de_002024,"Ursula konnte den Wegerich, den sie gerade gekauft hatte, nicht in ihre Handtasche passen, weil _ zu kräftig war.",die Handtasche,der Wegerich,B,,
pr_de_002040,"Nach der Aufnahme in die Gruppe erhielt Ben eine Uniform und noch nicht den Umhang, da _ für hochrangige Mitglieder bestimmt war.",die Uniform,der Umhang,B,,
pr_de_002200,"Das Geräusch der kitzelnden Uhr war im Raum zu hören, weil _ laut ist.",die Uhr,der Raum,A,,
pr_de_002212,"Ich trug an diesem Tag einen Hut über meinen Haaren anstelle eines Schals, da _ weniger Schutz bot.",der Hut,der Schal,B,,
pr_de_002295,"Der Junge aß auf dem Stuhl statt am Tisch, weil _ weiter vom Boden entfernt war.",der Tisch,der Stuhl,A,,
pr_de_002347,"Die Mutter versuchte, das Bett in das neue Zimmer zu stellen, aber _ war zu klein.",das Bett,das Zimmer,B,,
pr_de_002422,"Der von Mar gekaufte Eyeliner bleibt den ganzen Tag an, aber sie muss ihren Lippenstift die ganze Zeit neu auftragen, damit _ schwächer wird.",der Eyeliner,der Lippenstift,B,,
pr_de_002577,"Der Musiker versuchte, die Gitarre in den Koffer zu stecken, aber sie passte nicht, weil _ zu kurz war.",der Koffer,die Gitarre,A,,
pr_de_002644,"Das Motorrad, das ich im Laden gemietet habe, ist langsamer als mein Auto, weil _ einen größeren Motor hat.",das Motorrad,das Auto,B,,
pr_de_002747,"Wenn ein Arzt einen stationären Eingriff durchführt, wird dieser im Krankenhaus und nicht in einem Büro durchgeführt, da _ über weniger Ressourcen verfügt.",das Krankenhaus,das Büro,B,,
pr_de_002778,"Ihr Körper sah in ihrem neuen Bikini fantastisch aus, weil _ knapp und gepflegt ist.",der Bikini,der Körper,A,,
pr_de_002784,"Der Test war ein Erfolg, als der Ball das Glas zertrümmerte, weil er bewies, dass _ schwächer war.",der Ball,das Glas,B,,
pr_de_002871,"Das antike Schwert war weniger gefährlich als das antike Messer, weil _ stumpf ist.",das Schwert,das Messer,A,,
pr_de_002887,"Der Barkeeper warf ein Glas um, in dem ein Getränk auf dem Bartop stand, sodass _ leer war.",das Glas,der Bartop,A,,
pr_de_002950,"Der Gewinn war gefragter als das Teamziel, da _ unerheblich war.",der Gewinn,das Ziel,B,,
pr_de_003047,"Adam benutzte die Seife, aber nicht das Shampoo, weil _ mehr Schmutz von seinen Haaren entfernte.",die Seife,das Shampoo,A,,
pr_de_003099,"Ich dachte, die Leinwand sei groß genug, um auf die Terrasse zu passen, aber nicht, weil _ zu klein war.",die Leinwand,die Terrasse,A,,
pr_de_003151,"Die Strecke war nicht mehr gut für das Training, also ging er ins Fitnessstudio, weil _ ihn von seinen Zielen abhielt.",das Fitnessstudio,die Strecke,B,,
pr_de_003240,"Die Kratzer waren tief auf dem Tisch, haben aber die Tür nicht beschädigt, da _ unempfindlich gegen Beschädigungen war.",die Tür,der Tisch,A,,
