item_id,answer,confidence
pr_en_000298,A,4
pr_en_000871,A,5
pr_en_000872,B,5
pr_en_000925,A,5
pr_en_000926,B,5
pr_en_001414,A,3
pr_en_001422,A,5
pr_en_001708,B,4
pr_en_002122,REFUSE,1
pr_en_002153,A,5
pr_en_002347,A,4
pr_en_002819,B,5
pr_en_002820,A,5
pr_en_003790,B,5
pr_en_003906,A,5
pr_en_003915,A,5
pr_en_003916,B,5
pr_en_004775,B,5
pr_en_004776,A,5
pr_en_005053,B,4
pr_en_005129,B,4
pr_en_005830,B,4
pr_en_005878,B,5
pr_en_006246,A,4
pr_en_006633,B,5
pr_en_006634,A,5
pr_en_007289,A,5
pr_en_007290,B,4
pr_en_007322,A,5
pr_en_007597,A,5
pr_en_007598,B,4
pr_en_007704,B,5
pr_en_008137,B,4
pr_en_008138,A,5
pr_en_008419,B,4
pr_en_008420,A,5
pr_en_008454,B,5
pr_en_008561,B,5
pr_en_008649,B,5
pr_en_008650,A,5
pr_en_009131,B,5
pr_en_009132,A,5
pr_en_009265,A,4
pr_en_009266,B,4
pr_en_009300,B,5
pr_en_009468,A,4
pr_en_009797,A,4
pr_en_009975,B,5
pr_en_009976,A,5
pr_en_010232,B,5
pr_en_000953,B,4
pr_en_001314,B,5
pr_en_001869,A,4
pr_en_002924,A,3
pr_en_003090,A,4
pr_en_003930,B,4
pr_en_004316,A,5
pr_en_005069,A,5
pr_en_005078,B,4
pr_en_005469,B,5
pr_en_005854,A,4
pr_en_007103,REFUSE,1
pr_en_007119,REFUSE,1
pr_en_007468,B,4
pr_en_008594,B,4
pr_en_008654,REFUSE,1
pr_en_009076,REFUSE,1
pr_en_009310,B,4
pr_en_010221,B,5
