item_id,answer,confidence
11,B,4
17,B,5
18,A,5
23,A,4
45,B,5
46,A,5
58,B,5
77,B,5
78,A,5
79,B,4
99,B,5
138,B,4
139,B,4
140,A,4
141,A,4
182,A,5
183,B,3
254,A,5
286,B,4
289,B,4
324,A,5
325,A,5
386,A,4
400,A,5
433,B,4
437,B,4
440,A,5
487,B,5
503,REFUSE,1
510,A,4
540,B,4
555,A,4
556,B,5
569,A,5
598,B,5
603,B,4
614,B,5
650,B,4
651,A,5
652,A,4
660,B,5
665,B,5
682,B,5
722,B,5
22,B,5
42,A,5
60,A,4
80,B,5
85,A,4
108,A,5
109,B,4
112,REFUSE,1
118,A,5
175,A,5
198,B,5
237,B,5
248,B,5
255,A,5
257,A,4
260,B,3
261,B,4
283,A,4
307,REFUSE,1
308,A,3
320,REFUSE,1
356,A,4
410,REFUSE,1
448,A,5
469,A,5
561,REFUSE,1
562,B,4
586,B,5
600,A,5
633,A,4
641,A,4
655,A,4
671,A,5
691,A,5
697,A,5
703,A,4
708,A,5
741,B,5
