id,predicted_label
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
