item_id,sentence,option_a,option_b,gold_answer,model_prediction,correct
pr_ru_000001,"В шкафу было больше папок, чем на столе, потому что _ был больше.", шкаф, стол,A,,
pr_ru_000003,"Сергей оценил замысловатый дизайн и решил оставить картину вместо скульптуры, потому что _ была интересной.", скульптура, картина,B,,
pr_ru_000004,"Сергей оценил замысловатый дизайн и решил оставить картину вместо скульптуры, потому что _ была тусклой.", скульптура, картина,A,,
pr_ru_000006,"Класс физики Эдит был перенесен из класса в театр, потому что _ был недоступен.", класс, театр,A,,
pr_ru_000008,"Джон подозревает, что в чае нет сахара, но он есть в кофе, потому что _ горький.", чай, кофе,A,,
pr_ru_000009,"Барб хотела устроить вечеринку в загородном клубе, а не в общественном центре, потому что _ был частным.", клуб, центр,A,,
pr_ru_000010,"Барб хотела устроить вечеринку в загородном клубе, а не в общественном центре, потому что _ был публичным.", центр, клуб,A,,
pr_ru_000011,"Проблема на конференции не могла быть точно определена, потому что _ была сложной.", проблема, конференция,A,,
pr_ru_000012,"Проблема на конференции не могла быть точно определена, потому что _ была простой.", конференция, проблема,A,,
pr_ru_000013,"Перси едет в парк на велосипеде, а не на поезде, потому что _ добирается до него медленнее.", поезд, велосипед,A,,
pr_ru_000016,"Серебро было дешевле золота, потому что _ было из обычной лавки.", серебро, золото,A,,
pr_ru_000017,"Мальчик хотел положить игру в коробку, но _ оказалась слишком маленькой.", коробка, игра,A,,
pr_ru_000018,"Мальчик хотел положить игру в коробку, но _ оказалась слишком большой.", игра, коробка,A,,
pr_ru_000019,"Они принимали лекарство у источника, а не у ручья, поскольку _ был более паллиативным для их состояния.", ручей, источник,B,,
pr_ru_000020,"Они принимали лекарство у источника, а не у ручья, так как _ был более разрушительным для их состояния.", ручей, источник,A,,
pr_ru_000021,"По моему мнению, вам следует взять словарь вместо атласа, потому что _ более полезен.", атлас, словарь,B,,
pr_ru_000022,"По моему мнению, вам следует взять словарь вместо атласа, потому что _ менее полезен.", словарь, атлас,B,,
pr_ru_000023,"Процедура была более опасной, чем операция, потому что _ длилась очень долго.", процедура, операция,A,,
pr_ru_000025,"Я всегда использовал улицу рядом с моим домом, а не дорогу, потому что _ всегда была чище.", улица, дорога,A,,
pr_ru_000026,"Я всегда использовал улицу рядом с моим домом, а не дорогу, потому что _ всегда была более загруженной.", дорога, улица,A,,
pr_ru_000027,"Банк упал на стол и сломал стол, потому что _ силен.", стол, банк,B,,
pr_ru_000028,"Банк упал на стол, и он сломался, потому что _ слабый.", стол, банк,A,,
pr_ru_000029,"Сьюзан решила сесть в самолет вместо поезда, чтобы отправиться в Майами, потому что _ летит быстро.", поезд, самолет,B,,
pr_ru_000030,"Сьюзан решила сесть в самолет вместо поезда, чтобы ехать в Майами, потому что _ идет медленно.", самолет, поезд,B,,
pr_ru_000032,"Чтобы правильно установить раму, мы выбросили отвертку и использовали дрель, так как _ очень пригодилась для этой задачи.", дрель, отвертка,A,,
pr_ru_000033,"Два мальчика спланировали игру, а затем пошли рисовать ее на бумаге, но быстро поняли, что _ слишком сложна.", бумага, игра,B,,
pr_ru_000034,"Два мальчика спланировали игру, а затем пошли рисовать ее на бумаге, но быстро поняли, что _ слишком мала.", бумага, игра,A,,
pr_ru_000035,"Когда я увидел его в маске, я испытал больше эмоций, чем когда он был в шляпе, потому что _ была очень страшной.", шляпа, маска,B,,
pr_ru_000036,"Когда я увидел его в маске, я испытал больше эмоций, чем когда он был в шляпе, потому что _ была совершенно нормальной.", маска, шляпа,B,,
pr_ru_000037,"Мальчик плакал, чтобы передать сумку в руке старшему брату и забрать коробку, потому что _ тяжелая.", сумка, коробка,A,,
pr_ru_000038,"Мальчик плакал, чтобы передать сумку в руке старшему брату и забрать коробку, потому что _ легкая.", коробка, сумка,A,,
pr_ru_000039,"Человек использовал веревку вместо лозы, чтобы выжить, потому что _ была слабой.", лоза, веревка,A,,
pr_ru_000041,"Пистолет был тише при стрельбе, чем дробовик, потому что _ был более мощным.", пистолет, дробовик,B,,
pr_ru_000042,"Пистолет был громче дробовика при выстреле, потому что _ был более мощным.", пистолет, дробовик,A,,
pr_ru_000043,"Они использовали коробку вместо ловушки, чтобы поймать мышь, потому что _ была более гуманной.", коробка, ловушка,A,,
pr_ru_000045,"В семейном рецепте шоколада нужно было удалить корень и коричневый сахар, потому что _ был слишком горьким.", корень, сахар,A,,
pr_ru_000046,"В семейном рецепте шоколада нужно было удалить корень и коричневый сахар, потому что _ был слишком сладким.", корень, сахар,B,,
pr_ru_000047,"Джим лучше подготовился к свадьбе, чем к вечеринке, потому что _ была более формальной.", вечеринка, свадьба,B,,
pr_ru_000048,"Джим лучше подготовился к свадьбе, чем к вечеринке, потому что _ была более непринужденной.", свадьба, вечеринка,B,,
pr_ru_000049,"Маффин был менее вкусным, чем торт, потому что _ был приготовлен начинающим пекарем.", торт, маффин,B,,
pr_ru_000050,"Маффин получился менее вкусным, чем торт, потому что _ был приготовлен профессиональным пекарем.", маффин, торт,B,,
pr_ru_000051,"Мы смогли настроить гитару, но не скрипку, поскольку _ была изменяемой.", скрипка, гитара,B,,
pr_ru_000053,"Птичья клетка не могла вместить еще одну забавную игрушку для птицы, потому что _ была крошечной.", игрушка, клетка,B,,
pr_ru_000054,"Птичья клетка не могла вместить еще одну забавную игрушку для птицы, потому что _ была огромной.", клетка, игрушка,B,,
pr_ru_000056,"Клей пролился на шелк, поэтому Рикли надел бархат, потому что _ был мягким.", шелк, бархат,B,,
pr_ru_000057,"В воскресенье Лерой начал наливать апельсиновый сок из бочки в фляжку, но _ оказалась слишком маленькой, чтобы в нее поместиться.", фляга, бочка,A,,
pr_ru_000058,"В воскресенье Лерой начал наливать апельсиновый сок из бочки в фляжку, но _ оказалась слишком большой.", бочка, фляга,A,,
pr_ru_000059,"Аманда использовала пищевую соду вместо зубной пасты, чтобы чистить зубы, потому что _ отбеливала их лучше.", паста, сода,B,,
pr_ru_000060,"Аманда использовала пищевую соду вместо зубной пасты, чтобы чистить зубы, потому что _ не отбеливала их.", сода, паста,B,,
pr_ru_000061,"В зеленый чай, который приготовил Мэтт, было добавлено немного сахара, потому что _ неприятный на вкус.", сахар, чай,B,,
pr_ru_000063,"Лиз хотела новую кровать для своей комнаты, но не могла получить ту, которая ей нравилась, потому что _ была слишком большой.", кровать, комната,A,,
pr_ru_000064,"Лиз хотела новую кровать для своей комнаты, но не могла получить ту, которая ей нравилась, потому что _ была слишком маленькой.", комната, кровать,A,,
pr_ru_000067,"Коричневая кожаная перчатка болталась на ее руке, потому что _ была слишком большой.", рука, перчатка,B,,
pr_ru_000068,"Коричневая кожаная перчатка болталась на ее руке, потому что _ была слишком маленькой.", перчатка, рука,B,,
pr_ru_000069,"Джон очень хотел поместить свою рыбу в новый аквариум на столе, но _ был слишком хрупким.", аквариум, стол,B,,
pr_ru_000070,"Джон очень хотел поместить свою рыбу в новый аквариум на столе, но _ оказался слишком тяжелым.", стол, аквариум,B,,
pr_ru_000071,"Я пытался сделать семенную бомбу для своей почвы снаружи, но у меня ничего не вышло, и мне пришлось переделать бомбу побольше, потому что _ была слишком маленькой.", бомба, почва,A,,
pr_ru_000072,"Я пытался сделать семенную бомбу для своей почвы снаружи, но у меня ничего не вышло, и мне пришлось переделать бомбу побольше, потому что _ была слишком глубокой.", почва, бомба,A,,
pr_ru_000073,"Женщина перешла с лечебного крема на гель для лечения акне, потому что _ обжег ее кожу.", гель, крем,B,,
pr_ru_000074,"Женщина перешла с лечебного крема на гель для лечения акне, потому что _ успокаивал ее кожу.", крем, гель,B,,
pr_ru_000075,"Прочитав обзор, мужчина решил остановиться в отеле, а не в мотеле, потому что _ был лучше.", мотель, отель,B,,
pr_ru_000076,"Прочитав обзор, мужчина решил остановиться в отеле, а не в мотеле, потому что _ был менее привлекательным.", мотель, отель,A,,
pr_ru_000077,"Поскольку этот человек пытался придерживаться своего финансового плана, он купил сэндвич вместо гамбургера, потому что _ был дешевым.", сэндвич, гамбургер,A,,
pr_ru_000078,"Поскольку мужчина пытался придерживаться своего финансового плана, он купил сэндвич вместо гамбургера, потому что _ был дорогим.", гамбургер, сэндвич,A,,
pr_ru_000079,"Я использовал калькулятор вместо компьютера, чтобы помочь с домашним заданием по математике, потому что _ был быстрее.", калькулятор, компьютер,A,,
