item_id,sentence,option_a,option_b,gold_answer,model_prediction,correct
pr_en_000001,Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,Ian,Dennis,B,,
pr_en_000002,Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,Ian,Dennis,A,,
pr_en_000003,"He never comes to my home, but I always go to his house because the _ is smaller.",home,house,A,,
pr_en_000004,"He never comes to my home, but I always go to his house because the _ is bigger.",home,house,B,,
pr_en_000005,"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a colder climate.",Kyle,Logan,B,,
pr_en_000006,"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a warmer climate.",Kyle,Logan,A,,
pr_en_000007,The GPS and map helped me navigate home.  I got lost when the _ got turned upside down.,GPS,map,B,,
pr_en_000008,The GPS and map helped me navigate home.  I got lost when the _ got turned off.,GPS,map,A,,
pr_en_000009,"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .",Emily,Patricia,B,,
pr_en_000010,"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .",Emily,Patricia,A,,
pr_en_000011,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.,safe,trolley,B,,
pr_en_000012,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.,safe,trolley,A,,
pr_en_000013,"He thought he had time to take the scenic route to the store, but the _ was under construction.",route,store,A,,
pr_en_000014,"He thought he had time to take the scenic route to the store, but the _ was closed early.",route,store,B,,
pr_en_000015,She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick.,chair,table,B,,
pr_en_000016,She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is time consuming.,chair,table,A,,
pr_en_000017,"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary.",unconscious,conscious,B,,
pr_en_000018,"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are involuntary.",unconscious,conscious,A,,
pr_en_000019,Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,B,,
pr_en_000020,Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,A,,
pr_en_000021,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.,raisins,peanuts,B,,
pr_en_000022,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.,raisins,peanuts,A,,
pr_en_000023,Craig really loves to clean all the time but Derrick does not because _ is very neat.,Craig,Derrick,A,,
pr_en_000024,Craig really loves to clean all the time but Derrick does not because _ is very untidy.,Craig,Derrick,B,,
pr_en_000025,Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers.,Dennis,Robert,A,,
pr_en_000026,Dennis gave his hammer to Robert so he could hammer the nails. _ had no hammers.,Dennis,Robert,B,,
pr_en_000027,The party was more interesting and uplifing than the funeral because the _ was rigid.,party,funeral,B,,
pr_en_000028,The party was more interesting and uplifting than the funeral because the _ was flexible.,party,funeral,A,,
pr_en_000029,The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden.,fields,forests,B,,
pr_en_000030,The geese prefer to nest in the fields rather than the forests because in the _ predators are very visible.,fields,forests,A,,
pr_en_000031,"The plant took up too much room in the urn, because the _ was small.",plant,urn,B,,
pr_en_000032,"The plant took up too much room in the urn, because the _ was large.",plant,urn,A,,
pr_en_000033,"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too low.",bird house,ground,A,,
pr_en_000034,"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too high.",bird house,ground,B,,
pr_en_000035,I prefer spa to the pool and I find the cold water in the _  not relaxing at the end of the day.,spa,pool,B,,
pr_en_000036,I prefer spa to the pool and I find the hot water in the _ relaxing at the end of the day.,spa,pool,A,,
pr_en_000037,Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house.,Megan,Elena,B,,
pr_en_000038,Megan said it would be liberating to go out without makeup like Elena does. _ always wore makeup when she left the house.,Megan,Elena,A,,
pr_en_000039,Donald was richer than Leslie was because companies had found oil on the property of _ .,Donald,Leslie,A,,
pr_en_000040,Donald was poorer than Leslie was because companies had found oil on the property of _ .,Donald,Leslie,B,,
pr_en_000041,"Feeling a draft, William asked Neil to please close the front door because _ was closer.",William,Neil,B,,
pr_en_000042,"Feeling a draft, William asked Neil to please close the front door because _ was farther away.",William,Neil,A,,
pr_en_000043,Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the kung pao chicken for dinner.,Lindsey,Megan,B,,
pr_en_000044,Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the Peking Duck for dinner.,Lindsey,Megan,A,,
pr_en_000045,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.,Elena,Megan,B,,
pr_en_000046,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.,Elena,Megan,A,,
pr_en_000047,"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.",Kenneth,Dennis,B,,
pr_en_000048,"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.",Kenneth,Dennis,A,,
pr_en_000049,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.",Eric,Neil,A,,
pr_en_000050,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.",Eric,Neil,B,,
pr_en_000051,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.",Patricia,Tanya,B,,
pr_en_000052,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.",Patricia,Tanya,A,,
pr_en_000053,"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small.",tweezer,wristlet,B,,
pr_en_000054,"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.",tweezer,wristlet,A,,
pr_en_000055,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.,Kevin,Nelson,A,,
pr_en_000056,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.,Kevin,Nelson,B,,
pr_en_000057,"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.",Emily,Sarah,A,,
pr_en_000058,"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.",Emily,Sarah,B,,
pr_en_000059,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",Elena,Tanya,B,,
pr_en_000060,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",Elena,Tanya,A,,
pr_en_000061,"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",Rebecca,Amy,A,,
pr_en_000062,"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",Rebecca,Amy,B,,
