id,language,sentence,option1,option2,answer,source_dataset
winogrande_s/train_0,English,Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,Ian,Dennis,2,winogrande_tight
winogrande_s/train_1,English,Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,Ian,Dennis,1,winogrande_tight
winogrande_s/train_2,English,"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .",Emily,Patricia,2,winogrande_tight
winogrande_s/train_3,English,"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .",Emily,Patricia,1,winogrande_tight
winogrande_s/train_4,English,Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,2,winogrande_tight
winogrande_s/train_5,English,Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,1,winogrande_tight
winogrande_s/train_6,English,Craig really loves to clean all the time but Derrick does not because _ is very neat.,Craig,Derrick,1,winogrande_tight
winogrande_s/train_7,English,Craig really loves to clean all the time but Derrick does not because _ is very untidy.,Craig,Derrick,2,winogrande_tight
winogrande_s/train_8,English,"Feeling a draft, William asked Neil to please close the front door because _ was closer.",William,Neil,2,winogrande_tight
winogrande_s/train_9,English,"Feeling a draft, William asked Neil to please close the front door because _ was farther away.",William,Neil,1,winogrande_tight
winogrande_s/train_10,English,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.,Elena,Megan,2,winogrande_tight
winogrande_s/train_11,English,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.,Elena,Megan,1,winogrande_tight
winogrande_s/train_12,English,"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.",Kenneth,Dennis,2,winogrande_tight
winogrande_s/train_13,English,"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.",Kenneth,Dennis,1,winogrande_tight
winogrande_s/train_14,English,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.",Eric,Neil,1,winogrande_tight
winogrande_s/train_15,English,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.",Eric,Neil,2,winogrande_tight
winogrande_s/train_16,English,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.",Patricia,Tanya,2,winogrande_tight
winogrande_s/train_17,English,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.",Patricia,Tanya,1,winogrande_tight
winogrande_s/train_18,English,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.,Kevin,Nelson,1,winogrande_tight
winogrande_s/train_19,English,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.,Kevin,Nelson,2,winogrande_tight
winogrande_s/train_20,English,"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.",Emily,Sarah,1,winogrande_tight
winogrande_s/train_21,English,"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.",Emily,Sarah,2,winogrande_tight
winogrande_s/train_22,English,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",Elena,Tanya,2,winogrande_tight
winogrande_s/train_23,English,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",Elena,Tanya,1,winogrande_tight
winogrande_s/train_24,English,"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",Rebecca,Amy,1,winogrande_tight
winogrande_s/train_25,English,"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",Rebecca,Amy,2,winogrande_tight
winogrande_s/train_26,English,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.",Dennis,Jason,2,winogrande_tight
winogrande_s/train_27,English,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.",Dennis,Jason,1,winogrande_tight
winogrande_s/train_28,English,"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph,1,winogrande_tight
winogrande_s/train_29,English,"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph,2,winogrande_tight
winogrande_s/train_30,English,"Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.",Kevin,Nick,2,winogrande_tight
winogrande_s/train_31,English,"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",Kevin,Nick,1,winogrande_tight
winogrande_s/train_32,English,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.,Adam,Aaron,1,winogrande_tight
winogrande_s/train_33,English,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.,Adam,Aaron,2,winogrande_tight
winogrande_s/train_34,English,"Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.",Derrick,Justin,2,winogrande_tight
winogrande_s/train_35,English,"Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.",Derrick,Justin,1,winogrande_tight
winogrande_s/train_36,English,"Kayla dated many more people at once than Betty, because _ was in an open relationship.",Kayla,Betty,2,winogrande_tight
winogrande_s/train_37,English,"Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.",Kayla,Betty,1,winogrande_tight
winogrande_s/train_38,English,"The letter that Joel has written is being read by Adam, so _ is the writer.",Joel,Adam,1,winogrande_tight
winogrande_s/train_39,English,"The letter that Joel has written is being read by Adam, so _ is the editor.",Joel,Adam,2,winogrande_tight
winogrande_s/train_40,English,"Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.",Kyle,Nick,1,winogrande_tight
winogrande_s/train_41,English,"Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.",Kyle,Nick,2,winogrande_tight
winogrande_s/train_42,English,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.",Joseph,Kevin,1,winogrande_tight
winogrande_s/train_43,English,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.",Joseph,Kevin,2,winogrande_tight
winogrande_s/train_44,English,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.",Dennis,Christopher,2,winogrande_tight
winogrande_s/train_45,English,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.",Dennis,Christopher,1,winogrande_tight
winogrande_s/train_46,English,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.",Leslie,Derrick,1,winogrande_tight
winogrande_s/train_47,English,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.",Leslie,Derrick,2,winogrande_tight
winogrande_s/train_48,English,Nick had a bigger dog than Craig because _ fed their dog much more food.,Nick,Craig,1,winogrande_tight
winogrande_s/train_49,English,Nick had a smaller dog than Craig because _ fed their dog much more food.,Nick,Craig,2,winogrande_tight
winogrande_s/train_50,English,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.,Christine,Victoria,1,winogrande_tight
winogrande_s/train_51,English,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.,Christine,Victoria,2,winogrande_tight
winogrande_s/train_52,English,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.,Kyle,Steven,2,winogrande_tight
winogrande_s/train_53,English,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.,Kyle,Steven,1,winogrande_tight
winogrande_s/train_54,English,Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.,Eric,Michael,1,winogrande_tight
winogrande_s/train_55,English,Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.,Eric,Michael,2,winogrande_tight
winogrande_s/train_56,English,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.",Amy,Kayla,2,winogrande_tight
winogrande_s/train_57,English,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.",Amy,Kayla,1,winogrande_tight
winogrande_s/train_58,English,Eric looked at Neil in shock and started to react violently because _ lied to him.,Eric,Neil,2,winogrande_tight
winogrande_s/train_59,English,Eric looked at Neil in shock and started to react violently because _ felt betrayed.,Eric,Neil,1,winogrande_tight
winogrande_s/train_60,English,Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.,Samantha,Emily,2,winogrande_tight
winogrande_s/train_61,English,Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.,Samantha,Emily,1,winogrande_tight
winogrande_s/train_62,English,Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.,Jessica,Katrina,2,winogrande_tight
winogrande_s/train_63,English,Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.,Jessica,Katrina,1,winogrande_tight
winogrande_s/train_64,English,"Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.",Laura,Katrina,1,winogrande_tight
winogrande_s/train_65,English,"Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.",Laura,Katrina,2,winogrande_tight
winogrande_s/train_66,English,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.,Brian,Kenneth,1,winogrande_tight
winogrande_s/train_67,English,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.,Brian,Kenneth,2,winogrande_tight
winogrande_s/train_68,English,"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",Brian,Kevin,2,winogrande_tight
winogrande_s/train_69,English,"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",Brian,Kevin,1,winogrande_tight
winogrande_s/train_70,English,"William forgot about all the times when Ian saved them, because _ was generally self-involved.",William,Ian,1,winogrande_tight
winogrande_s/train_71,English,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in Korea.",Katrina,Felicia,2,winogrande_tight
winogrande_s/train_72,English,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in the US.",Katrina,Felicia,1,winogrande_tight
winogrande_s/train_73,English,Jason denied Ian's passport application because _ did not provide the correct paperwork in time.,Jason,Ian,2,winogrande_tight
winogrande_s/train_74,English,Jason denied Ian's passport application because _ did not receive the correct paperwork in time.,Jason,Ian,1,winogrande_tight
winogrande_s/train_75,English,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat down.",Kyle,William,1,winogrande_tight
winogrande_s/train_76,English,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat up.",Kyle,William,2,winogrande_tight
winogrande_s/train_77,English,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to give them cereal.",William,Kevin,2,winogrande_tight
winogrande_s/train_78,English,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to eat cereal.",William,Kevin,1,winogrande_tight
winogrande_s/train_79,English,Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized.,Justin,Matthew,2,winogrande_tight
winogrande_s/train_80,English,Justin wrote a paragraph in his planner every day unlike Matthew because _ was organized.,Justin,Matthew,1,winogrande_tight
winogrande_s/train_81,English,Erin is known an an entrepreneur while Victoria is only an employee because _ owns a business.,Erin,Victoria,1,winogrande_tight
winogrande_s/train_82,English,Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business.,Erin,Victoria,2,winogrande_tight
winogrande_s/train_83,English,After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.,Logan,Joseph,2,winogrande_tight
winogrande_s/train_84,English,After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.,Logan,Joseph,1,winogrande_tight
winogrande_s/train_85,English,The experience was totally unforgettable for Betty but not Samantha because _ had dreaded it for months.,Betty,Samantha,2,winogrande_tight
winogrande_s/train_86,English,The experience was totally unforgettable for Betty but not Samantha because _ had anticipated it for months.,Betty,Samantha,1,winogrande_tight
winogrande_s/train_87,English,Kyle got a new cell phone and showed it to Leslie because _ was happy about the new phone.,Kyle,Leslie,1,winogrande_tight
