id,language,sentence,option1,option2,answer,source_dataset
3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-2,Amharic,_ አንጀት መብላትን ስለናቀ ኢያን ጎድጓዳ ሳህን ከያዘ በኋላ የዴኒስ ሜኑዶን ለመብላት ፈቃደኛ ሆነ.,ኢያን,ዴኒስ,2,winogrande_tight
3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-1,Amharic,ኢየን አንጀት መብላት ስለወደደ _ ጎድጓዳ ሳህን ከያዘ በኋላ የዴኒስ ሜኑዶን ለመብላት ፈቃደኛ ሆነ.,ኢያን,ዴኒስ,1,winogrande_tight
3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-2,Amharic,_ ከመወጣጫ ላይ ስለነበረች ኤሚሊ ቀና ብላ ተመለከተች እና ፓትሪሺያ ከፊት ስትሽቀዳደም እንዳለች አየች.,ኤሚሊ,ፓትሪሺያ,2,winogrande_tight
3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-1,Amharic,_ ከመወጣጫ ስር ስለነበረች ኤሚሊ ቀና ብላ ተመለከተች እና ፓትሪሺያ ከፊት ስትሽቀዳደም እንዳለች አየች.,ኤሚሊ,ፓትሪሺያ,1,winogrande_tight
3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-2,Amharic,ሜጋን ከጄሲካ በጣም ያነሰ ገንዘብ አላት ምክንያቱም _ የአሸናፊውን የሎተሪ ቲኬት ገዝታለች.,ሜጋን,ጄሲካ,2,winogrande_tight
3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-1,Amharic,ሜጋን ከጄሲካ በጣም የበለጠ ገንዘብ አላት ምክንያቱም _ የአሸናፊውን የሎተሪ ቲኬት ገዝታለች.,ሜጋን,ጄሲካ,1,winogrande_tight
3X55NP42EOE5ME6IJ28VZ67STRW3P5-1,Amharic,ክሬግ ሁል ጊዜ ማጽዳትን ይወዳል ነገር ግን ዴሪክ አያደርገውም ምክንያቱም _ በጣም ንጹህ ስለሆነ ነው.,ክሬግ,ዴሪክ,1,winogrande_tight
3X55NP42EOE5ME6IJ28VZ67STRW3P5-2,Amharic,ክሬግ ሁል ጊዜ ማጽዳትን ይወዳል ነገር ግን ዴሪክ አያደርገውም ምክንያቱም _ በጣም ዝርክርክ ስለሆነ ነው.,ክሬግ,ዴሪክ,2,winogrande_tight
3THR0FZ95R7JB7JDU6BGYQKRCK0OLW-2,Amharic,"ረቂቅ የተሰማው ዊልያም,  ለፊት በሩ _ ቅርብ ስለነበር የፊት በሩን እንዲዘጋው ኒልን ጠየቀው.",ዊሊያም,ኒል,2,winogrande_tight
3THR0FZ95R7JB7JDU6BGYQKRCK0OLW-1,Amharic,"ረቂቅ የተሰማው ዊልያም, ለፊት በሩ _ ሩቅ ስለነበር የፊት በሩን እንዲዘጋው ኒልን ጠየቀው.",ዊሊያም,ኒል,1,winogrande_tight
3RSBJ6YZEE4XBF9H8V8I3DF7F0UFOM-2,Amharic,_ ታማኝ ደንበኛ ስለነበረች ለሜጋን ለመሸጥ በእያንዳንዱ ጊዜ ኤሌና ከመደብሩ ጀርባ ያለውን የእነርሱን ክምችት እቃ ታመጣ ነበር.,ኤሌና,ሜጋን,2,winogrande_tight
3RSBJ6YZEE4XBF9H8V8I3DF7F0UFOM-1,Amharic,_ ነጋዴ ስለነበረች ለሜጋን ለመሸጥ በእያንዳንዱ ጊዜ ኤሌና ከመደብሩ ጀርባ ያለውን የእነርሱን ክምችት እቃ ታመጣ ነበር.,ኤሌና,ሜጋን,1,winogrande_tight
3TCFMTM8HEMDK4RXU0J0F0K2KZI21L-2,Amharic,"ኬኔት ዴኒስን ዳንሱ የሚካሄደው ስንት ሰዓት እንደሆነ ጠየቀው, ነገር ግን _ ረስቶት ነበር.",ኬኔት,ዴኒስ,2,winogrande_tight
3TCFMTM8HEMDK4RXU0J0F0K2KZI21L-1,Amharic,"ኬኔት ዴኒስን ዳንሱ የሚካሄደው ስንት ሰዓት እንደሆነ ጠየቀው, ምክንያቱም _ ረስቶት ነበር.",ኬኔት,ዴኒስ,1,winogrande_tight
3S4TINXCC217YYX13TMMKNON1TXBOG-1,Amharic,"ኤሪክ ለኒይል ሁሉንም ተገቢ የሰውነት ማፍታቻ ዘዴዎች እያስተማረ ነበር, ምክንያቱም _ ክፍያ ለማግኘት ይጠቀምባቸው ነበር.",ኤሪክ,ኒይል,1,winogrande_tight
3S4TINXCC217YYX13TMMKNON1TXBOG-2,Amharic,"ኤሪክ ለኒይል ሁሉንም ተገቢ የሰውነት ማፍታቻ ዘዴዎች እያስተማረ ነበር, ምክንያቱም _ ጥሩ የሰውነት ቅርፅ ለማግኘት ይጠቀምባቸው ነበር.",ኤሪክ,ኒይል,2,winogrande_tight
36MUZ9VAE8GE14IWNBAWA1I8ZL8DE5-2,Amharic,"ቤት ስትገዛ ፓትሪሺያ እንደ ታንያ ብዙ ገንዘብ ስለሌላት, _ ባለ 5 መኝታ ቤት መኖሪያ ገዛች.",ፓትሪሺያ,ታንያ,2,winogrande_tight
