item_id,premise,hypothesis,gold_label
ps_en_000001,"If Emily passes her driving test, her best friend will take her out for a celebratory dinner.",Emily has a best friend.,E
ps_en_000002,"It's not the case that if Emily passes her driving test, her best friend will take her out for a celebratory dinner.",Emily has a best friend.,E
ps_en_000003,"Sam believes that if Emily passes her driving test, her best friend will take her out for a celebratory dinner.",Emily has a best friend.,E
ps_en_000004,"Is it true that if Emily passes her driving test, her best friend will take her out for a celebratory dinner?",Emily has a best friend.,E
ps_en_000005,"If Scarlett finishes her work early, her husband will take her out for dinner.",Scarlett has a husband.,E
ps_en_000006,"It's not the case that if Scarlett finishes her work early, her husband will take her out for dinner.",Scarlett has a husband.,E
ps_en_000007,"Sam believes that if Scarlett finishes her work early, her husband will take her out for dinner.",Scarlett has a husband.,E
ps_en_000008,"Is it true that if Scarlett finishes her work early, her husband will take her out for dinner?",Scarlett has a husband.,E
ps_en_000009,"If Chloe finishes his work early, his colleagues will take him out for lunch.",Chloe has colleagues.,E
ps_en_000010,"It's not the case that if Chloe finishes his work early, his colleagues will take him out for lunch.",Chloe has colleagues.,E
ps_en_000011,"Sam believes that if Chloe finishes his work early, his colleagues will take him out for lunch.",Chloe has colleagues.,E
ps_en_000012,"Is it true that if Chloe finishes his work early, his colleagues will take him out for lunch?",Chloe has colleagues.,E
ps_en_000013,"If Ryan passes his driving test, his parents will be very happy.",Ryan has parents.,E
ps_en_000014,"It's not the case that if Ryan passes his driving test, his parents will be very happy.",Ryan has parents.,E
ps_en_000015,"Sam believes that if Ryan passes his driving test, his parents will be very happy.",Ryan has parents.,E
ps_en_000016,"Is it true that if Ryan passes his driving test, his parents will be very happy?",Ryan has parents.,E
ps_en_000017,"If Lisa finishes his meeting early, his colleague will drive him to the conference.",Lisa has a colleague.,E
ps_en_000018,"It's not the case that if Lisa finishes his meeting early, his colleague will drive him to the conference.",Lisa has a colleague.,E
ps_en_000019,"Sam believes that if Lisa finishes his meeting early, his colleague will drive him to the conference.",Lisa has a colleague.,E
ps_en_000020,"Is it true that if Lisa finishes his meeting early, his colleague will drive him to the conference?",Lisa has a colleague.,E
ps_en_000021,"If Evelyn lands in New York, her best friend will greet her at the airport.",Evelyn has a best friend.,E
ps_en_000022,"It's not the case that if Evelyn lands in New York, her best friend will greet her at the airport.",Evelyn has a best friend.,E
ps_en_000023,"Sam believes that if Evelyn lands in New York, her best friend will greet her at the airport.",Evelyn has a best friend.,E
ps_en_000024,"Is it true that if Evelyn lands in New York, her best friend will greet her at the airport?",Evelyn has a best friend.,E
ps_en_000025,"If Isabella finishes her work early, her colleague will treat her to lunch.",Isabella has a colleague.,E
ps_en_000026,"It's not the case that if Isabella finishes her work early, her colleague will treat her to lunch.",Isabella has a colleague.,E
ps_en_000027,"Sam believes that if Isabella finishes her work early, her colleague will treat her to lunch.",Isabella has a colleague.,E
ps_en_000028,"Is it true that if Isabella finishes her work early, her colleague will treat her to lunch?",Isabella has a colleague.,E
ps_en_000029,"If Elijah attends the conference, his colleague will meet him at the hotel.",Elijah has a colleague.,E
ps_en_000030,"It's not the case that if Elijah attends the conference, his colleague will meet him at the hotel.",Elijah has a colleague.,E
ps_en_000031,"Sam believes that if Elijah attends the conference, his colleague will meet him at the hotel.",Elijah has a colleague.,E
ps_en_000032,"Is it true that if Elijah attends the conference, his colleague will meet him at the hotel?",Elijah has a colleague.,E
ps_en_000033,"If Linda graduates from college, her parents will throw her a graduation party.",Linda has parents.,E
ps_en_000034,"It's not the case that if Linda graduates from college, her parents will throw her a graduation party.",Linda has parents.,E
ps_en_000035,"Sam believes that if Linda graduates from college, her parents will throw her a graduation party.",Linda has parents.,E
ps_en_000036,"Is it true that if Linda graduates from college, her parents will throw her a graduation party?",Linda has parents.,E
ps_en_000037,"If Karen's flight is delayed, her friend will wait for her at the bus station.",Karen has a friend.,E
ps_en_000038,"It's not the case that if Karen's flight is delayed, her friend will wait for her at the bus station.",Karen has a friend.,E
ps_en_000039,"Sam believes that if Karen's flight is delayed, her friend will wait for her at the bus station.",Karen has a friend.,E
ps_en_000040,"Is it true that if Karen's flight is delayed, her friend will wait for her at the bus station?",Karen has a friend.,E
ps_en_000041,"If Abigail finishes her presentation early, her colleague will treat her to lunch.",Abigail has a colleague.,E
ps_en_000042,"It's not the case that if Abigail finishes her presentation early, her colleague will treat her to lunch.",Abigail has a colleague.,E
