item_id,answer,confidence
487,A,5
46,A,5
324,A,4
798,A,5
141,A,5
722,A,4
138,A,5
58,A,4
254,A,5
651,A,3
603,A,5
826,A,5
555,A,5
614,A,5
540,A,5
286,A,4
660,A,5
437,A,5
18,A,5
183,A,4
79,A,5
569,A,5
289,A,4
807,A,5
510,A,4
99,B,5
140,B,5
139,B,5
325,B,4
440,B,4
556,B,4
799,B,5
652,B,5
650,B,5
682,B,5
78,B,4
45,B,5
761,B,4
386,B,5
17,B,5
182,A,4
665,B,5
433,B,4
752,B,4
598,B,5
77,B,5
11,B,4
503,B,5
23,B,5
400,B,5
656,A,4
410,B,4
21,A,3
810,A,4
640,A,4
109,A,3
283,A,5
85,A,4
439,A,4
641,A,5
738,A,4
248,A,4
75,B,4
754,A,3
558,B,5
22,B,4
708,B,4
198,B,5
586,A,3
320,B,4
184,A,3
317,A,4
