sample_id,sentence_id,words
1,1,"Structuring / Technology - Brad Alford , Chris Coffman , Bill Keeney"
1,2,Please reply in strict confidence to the contact numbers below .
1,3,Collaboration is prayed .
1,4,""" A warming of the magnitude predicted is more likely than not to be beneficial to the fisheries of the North Atlantic . """
1,5,Barbara Walters did a story on gender roles in Kuwait several years before the Gulf War .
1,6,Sent by : Ernie Simien
1,7,Do n't know the economics of Fujairah but Dubai is basically bankrupt so you would n't want to end up like them !
1,8,Question Mark
1,9,I have one yellow girl and a green and yellow boy .
1,10,A reconciling difference of $ 15 mm exists between the reported DPR and the final accounting p&l as generated on the AS400 .
1,11,He was trying to buddy with Archibald and impress him .
1,12,I took him to the Animal Hospital and they ran blood work and everything came back normal .
1,13,2 ) PG&E - Swap with Enron Europe Ltd. ( 3 in total )
1,14,Your muscles are loose and limp .
1,15,"Prices , he said , did not spike as a result ."
1,16,--------------------------------------------------
1,17,he crawls on top of them but does not try to eat them .
1,18,"Just another big Iraq whoopsie daisy , huh ?"
1,19,Thanks :)
1,20,"You are going to need a few thousand dollars saved up for flights , insurance , food , accommodation & spending money ."
1,21,"One week to elections day and the general atmosphere in the capital is eerie , yet strikingly familiar ."
1,22,"Like in the case of organized crime , it is crucial that the forces on the offensive be united and it is crucial to reach the top of the crime pyramid ."
1,23,How can i make my Jack Dempsey reproduce ?
1,24,"John ,"
1,25,"all of the pho places taste the same to me , so what seperates one from the other is the service and the price ."
1,26,"Over nine dozen temples that had served the Hindu population have been destroyed , with some used as building material and others as urinals ."
1,27,""" A few seconds later my girlfriend saw the shadow of a bear 's paw through the tent fly and then it started ripping through the ceiling . """
1,28,"However , when he printed out the service quote , I could see that it was NOT the correct tire , and was not even an appropriate tire for my car model ."
1,29,You still considering it ?
1,30,Can anyone give me an idea of when the best time for us to go to Ireland would be ?
1,31,how did you know .
1,32,"You could also just wait until the rat passes out for about 1 minute and them feed it - at this point , it could still have a bit of a heart beat and be slightly still alive ."
1,33,"I 'm 22 , and my hairdresser was great ( and not "" old "" like one of the reviews says ) - she really listened to what I wanted and gave me tons of tips on how to style my hair so I could get it to look the way I wanted it to ."
1,34,2 ) Then place you hand in the cage .
1,35,Right out of college I called the salon and explained my situation .
1,36,"The Rajavis , Afshari went on to say , '' saw these kids as the next generation 's soldiers ."
1,37,"In March 2003 , Mohammed reportedly said that Moussaoui was not going to be part of 9/11 but was to be part of a "" second wave . """
1,38,Sometimes it is not worth it to go through that kind of staff and their personal attitude to get to a doctor .
1,39,Believe me .
1,40,"I found a poor little mouse walking around in my friend s house , and since I was able to catch it very easily ( normally mice move at the speed of light ) , and since it was acting unresponsive , I thought it was infected with mouse poison , since my friend uses it ."
1,41,Sara Shackleton@ECT
1,42,You should double check with the necessary embassy before you leave though .
1,43,"As Pakistan 's president had been telling the United States he was "" forced "" into taking a hawkish line on India precisely by the likes of Rahman , this was an embarrassment ."
1,44,""" They ( electricity generators ) grinned and beared the $ 750 price cap , but this new plan by ISO was too much , "" said Dunn , whose committee has been investigating since March ."
1,45,Dow
1,46,"He Would Tear Down Our System Of Checks And Balances , Giving Far Too Much Power To The President"
1,47,Should I get a balcony ?
1,48,"If yes , you do n't need to change it because you board later ."
1,49,And when the job was done every thing was cleaned up and hauled off that same day .
1,50,"Common room was comfortable and clean , very good room to read or relax . –"
1,51,"Do a nice working trot , not a slow trot ."
1,52,I was amazed at the spiel they delivered .
1,53,Disinformation at time of war is an accepted tactic .
1,54,"Some of the younger kids that work there are a bit sub par , but if you wait for Nick ... you 'll be good ."
1,55,These are the people who keep Jerry springer on the air .
1,56,This has not yet penetrated the thinking of the Western World .
1,57,I 'm handling the afternoon -- I think that Harry has this morning .
1,58,http://en.wikipedia.org/wiki/Aerocom
1,59,I could not understand any his reasons .
1,60,How to convince my parents to let me get a Ball python ?
1,61,Thanks !
1,62,I 'll send a copy of the suit filed against the generators as soon as I get it .
1,63,How much notification would you like to give the TW customers before implementing the new TW Hotline phone number ?
1,64,"Therefore , any attack upon Iran 's nuclear facilities will bring Russia into the mess ."
1,65,4 - easy .
1,66,They squeezed me in and had me back up and running in no time .
1,67,"Well , T.V. is a series of flickering pictures that are streamed together to make a moving picture ."
1,68,Return to the top
1,69,"Maybe I 'm missing something here , but how , exactly , does one ' Loose ' 200,000 AK47's ?"
1,70,Assad the Father did not kill tens of thousands of his own citizens in one week in El Hamma in Syria because of Israel .
1,71,-------------------------------------------------------------------
1,72,Needs to go out of business
1,73,It said it was in January but still !!!!
1,74,The last time I did that I was suggested to buy oblivion when I told them I was looking for a fps .
1,75,- ld2d-#69397-1.DOC
1,76,"Iranian officials are deeply concerned about the US occupation of Shindand , a massive Soviet - era airbase just 30 kilometres from Iran ’s border ."
1,77,"They offer sales that are n't really sales , mislabeled items that make the item sound like a good deal when it is n't , a bad attitude about return items , and on and on ."
1,78,Guatemala
1,79,"At times , the pressure on your job and home life may seem unbearable , but rest assured you will come through this stronger - and wiser - than ever , as more is revealed and resolved in 2005 ."
1,80,"China launched Shenzhou VI , its second manned spacecraft , early today in northwest China 's Gansu Province ."
1,81,But I would go for the base number of 15 hh .
1,82,Do n't forget about me .
1,83,French dating etiquette ?
1,84,"The mangers also play a classic movies on Sundays , you can get a beer in the lobby , and repeat customers can get discounts if they have a member card ."
1,85,"The only notable difference I have noticed is that in the south of Ireland one night of the wake is often held in the chapel the night before the funeral , this tradition started after the civil war ."
1,86,This was a terrible experience and I hope that no one else goes through that .
1,87,A very good friend of mine highly recommended the Professional Driving School and I was told to specifically ask for Gerry .
1,88,As a mytouch 4g owner I know the phone is pretty fast and their is no point installing a rom .
