sample_id,sentence_id,sentence
1,1,""" We started panicking a bit after the Turkish goal ..."
1,2,2. Merlene Ottey ( Jamaica ) 10.94
1,3,MOSCOW 1996-08-30
1,4,It gave no further details .
1,5,"Death does have some sad dimensions to it but I am a man of faith , "" he said . """
1,6,""" I was shocked to see these offers coming in again , though there 's been no indication of price or volume ."
1,7,"Poland 's Foreign Minister Dariusz Rosati will visit Yugoslavia on September 3 and 4 to revive a dialogue between the two governments which was effectively frozen in 1992 , PAP news agency reported on Friday ."
1,8,Atlanta Games silver medal winner Edwards has called on other leading athletes to take part in the Sarajevo meeting -- a goodwill gesture towards Bosnia as it recovers from the war in the Balkans -- two days after the grand prix final in Milan .
1,9,"The pressure group said Wang would be sent to a study class , often a euphemism in China for ideological reform ."
1,10,7. Frank Busemann ( Germany ) 13.58
1,11,"The area is patrolled by U.S. , French and British planes ."
1,12,"The city 's industrial and commercial departments would confiscate disposable plastic containers and police would prevent new ones from entering the city , it said ."
1,13,Buducnost ( V ) 0 OFK Beograd 1
1,14,It was a perfect start .
1,15,BOSTON 69 66 .511 6 1/2
1,16,"BIRMINGHAM , England 1996-08-31"
1,17,Results of South Korean pro-soccer
1,18,SQUASH - HONG KONG OPEN QUARTER-FINAL RESULTS .
1,19,Jamaica 's Michael Green was second with 10.09 with Bailey finishing in 10.13 .
1,20,"He said his troops took Tavildara without casualties on August 23 , but the crack of sniper and machinegun fire revealed the presence of opposition fighters in the surrounding mountains ."
1,21,"Cofinec , the first foreign company to list on the Budapest bourse , released its consolidated first half figures ( IAS ) this morning ."
1,22,Stirling 1 Dundee 1
1,23,SAN DIEGO AT MONTREAL
1,24,BOXING - PANAMA 'S ROBERTO DURAN FIGHTS THE SANDS OF TIME .
1,25,SOCCER - BELARUS BEAT ESTONIA IN WORLD CUP QUALIFIER .
1,26,"Workers at Driefontein Consolidated Ltd 's east gold mine have failed to report for work since Wednesday night , mine managers Gold Fields of South Africa Ltd said on Friday ."
1,27,"The authorities are apparently extremely afraid of any political and social discontent , "" said Xiao , in Manila to attend an Amnesty International conference on human rights in China ."
1,28,American Nate Miller successfully defended his WBA cruiserweight title when he knocked out compatriot James Heath in the seventh round of their bout on Saturday .
1,29,.
1,30,Sloboda 4 Mladost ( BJ ) 0
1,31,2. Lance Armstrong ( U.S. ) Motorola 2 seconds behind
1,32,"Tavildara is now apparently inhabited only by a few old men , women and their grubby , barefoot children ."
1,33,Cleveland 's lead over the White Sox in the American League Central dropped to nine games .
1,34,AMERICAN LEAGUE
1,35,"Previously , he was instrumental in drafting church policy on war , peace and nuclear arms , and for seven years he headed the bishops ' anti-abortion policy committee , espousing a policy describing human life as a "" seamless garment . """
1,36,"Portsmouth : Middlesex 199 and 426 ( J. Pooley 111 , M. Ramprakash 108 , M. Gatting 83 ) , Hampshire 232 and 109-5 ."
1,37,"A child 's chances of being killed in a car accident , whether the vehicle was equipped with an air bag or not , is reduced by 29 percent when they are in the rear seat , she said ."
1,38,"Comelf 's six-month output rose to 4,378 tonnes of equipment from 2,684 tonnes in the equivalent period in 1995 , the company report to the Bucharest stock exchange showed ."
1,39,"But the people in the crowd on Saturday , who had turned out in support of the rebels , did not seem sure that the war was over ."
1,40,N. Knight st Moin Khan b Saqlain Mushtaq 113
1,41,"2009 95,000"
1,42,"This month , he announced that he would oversee a series of conferences to find "" common ground "" among American Catholics ."
1,43,Australia won the toss and
1,44,""" The people have asked us to establish order and that 's our main aim . """
1,45,"Organisers tried to block off traffic while preparing the drag race late on Friday , but an allegedly drunk driver was unable to slow down in time and ran into a group of spectators as he swerved to avoid one of the cars that was to take part in the race ."
1,46,LAST SALE : None
1,47,6. Steve Brown ( U.S. ) 13.53
1,48,BERLIN 1996-08-30
1,49,Only Russia has chosen to do so .
1,50,1. Michelle Freeman ( Jamaica ) 12.71 seconds
1,51,Pirelli shares reacted favourable even though talks had been underway for some time and news about a venture had been widely expected .
1,52,"That was the highest savings rate since October last year , when 5.5 cents out of each dollar earned was being saved ."
1,53,DETROIT 4 Kansas City 0
1,54,24 to plot interest-rate strategy .
1,55,Sjeng Schalken ( Netherlands ) beat David Rikl ( Czech Republic ) 6 - 2 6-4 6-4
1,56,It gave no further details .
1,57,Leading money winners on the
1,58,New Zealand win test series 2-1 .
1,59,4. Tim Lobinger ( Germany ) 5.80
1,60,Winter is in the air .
1,61,PHILADELPHIA 1996-08-29
1,62,international basketball tournament on Saturday :
1,63,The wreck was located in 1985 .
1,64,We have lost two points .
1,65,Richard Finn
1,66,"Market-making in the rarely-traded FTO contract was expected to begin today , but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system ."
1,67,NEW YORK 1996-08-31
1,68,"The Briton , who lost his World Boxing Council ( WBC ) title to Mike Tyson in March , said : "" I was in shock as soon as he told me and it still has n't really sunk in ."
1,69,"Zycie Warszawy said the new , open consortium , which also included several listed Polish firms , would on Monday inform Privatisation Minister Wieslaw Kaczmarek of its plans ."
1,70,The temperamental left-hander defeated the Chilean 6-4 4-6 7-6 6-2 .
1,71,"Add Women 's singles , third round Linda Wild ( U.S. ) beat Barbara Rittner ( Germany ) 6-4 4-6 7-5 Asa Carlsson ( Sweden ) beat 15 - Gabriela Sabatini ( Argentina ) 7-5 3-6 6-2"
1,72,Reuters historical calendar - September 7 .
