item_id,sentence,option_a,option_b
pr_ru_000008,"Джон подозревает, что в чае нет сахара, но он есть в кофе, потому что _ горький.", чай, кофе
pr_ru_000039,"Человек использовал веревку вместо лозы, чтобы выжить, потому что _ была слабой.", лоза, веревка
pr_ru_000090,"Ольге было легче читать книгу, чем записку, потому что _ была написана от руки.", записка, книга
pr_ru_000115,"Она хотела сэкономить больше денег, поэтому она сократила покупку ежедневного журнала, но не кофе, потому что _ был несущественным.", кофе, журнал
pr_ru_000117,"Продолжительность встречи была намного больше, чем у предыдущей презентации, потому что _ была более подробной.", презентация, встреча
pr_ru_000127,"Раньше я работал в банке рядом с нашим домом, а не в другом магазине, потому что _ был недалеко от дома.", магазин, банк
pr_ru_000144,"В конце концов, он выбросил старые поздравительные открытки, которые он хранил в ящике годами, в мусор, когда он закончил, _ был полон.", ящик, мусор
pr_ru_000147,"Пейсли записала свою новую песню на телефон, а не на компьютер, потому что _ работал медленнее.", компьютер, телефон
pr_ru_000209,"Когда я иду в магазин за продуктами для волос, я покупаю больше шампуня, чем мусса, потому что _ делает мои волосы чистыми.", шампунь, мусс
pr_ru_000225,"Самолет не справлялся с ветром так же хорошо, как вертолет, так как _ был слаб к погодным условиям.", вертолет, самолет
pr_ru_000232,"Письмо, которое Джеймс отправил в школу, было доставлено быстрее, чем письмо, отправленное в больницу, потому что _ находится рядом.", школа, больница
pr_ru_000235,"Самолет должен был прибыть вслед за вертолетом, поэтому _ улетал немедленно, чтобы рассчитать время прибытия.", вертолет, самолет
pr_ru_000263,"Настольный компьютер был намного лучше по сравнению с ноутбуком, но _ был дешевле.", ноутбук, компьютер
pr_ru_000273,"Джордж предпочел, чтобы они оба использовали нож вместо пистолета на дуэли, потому что _ мог частично поранить их.", нож, пистолет
pr_ru_000274,"Марси протерла стекло газетой, а не тканью, потому что _ была грязной.", газета, ткань
pr_ru_000277,"Я заплатил больше налогов за свой бизнес, чем за свой дом, потому что _ находится в коммерческой собственности.", бизнес, дом
pr_ru_000287,"Джон дал мне телефон, который был лучше моего планшета, потому что _ был более старой версии.", телефон, планшет
pr_ru_000304,"Джон вылил весь мешок с золотом в сундук с сокровищами, пока _ не наполнился.", сундук, мешок
pr_ru_000309,"Новый матрас не поместился на каркас кровати, потому что _ был слишком коротким.", каркас, матрас
pr_ru_000318,"Женщина попыталась засунуть новый бюстгальтер в ящик, но _ оказался слишком большим.", бюстгальтер, ящик
pr_ru_000325,"Специальный камень был перемещен с тарелки на чашу, потому что _ была прочной.", тарелка, чаша
pr_ru_000343,"Большинство людей в нашем городе использовали улицу рядом с нашим домом, а не дорогу через город, потому что _ ограничивала доступ.", дорога, улица
pr_ru_000349,"Мужчина хотел хранить горшок внутри шкафа, но _ был слишком большим.", шкаф, горшок
pr_ru_000352,"Стратегия генерала заключалась в том, чтобы взять город вместо взятия форта, поскольку _ был активом в битве.", город, форт
pr_ru_000356,"Подарить рубашку в подарок - лучший знак любви, чем подарить шляпу, поскольку _ - более ламерский символ привязанности.", шляпа, рубашка
pr_ru_000367,"Регулирующие органы решили помочь окружающей среде, введя налоги на поезд, но не на самолет, потому что _ был неэффективен.", поезд, самолет
pr_ru_000374,"Трава казалась кошкам приятнее, чем солома, хотя _ была сухой.", солома, трава
pr_ru_000391,"Боб пошел к торговцу автомобилями, чтобы обменять свой грузовик на мотоцикл, потому что _ был старым.", грузовик, мотоцикл
pr_ru_000392,"Боб пошел к торговцу автомобилями, чтобы обменять свой грузовик на мотоцикл, потому что _ был новым.", мотоцикл, грузовик
pr_ru_000402,"Путешественник попытался положить свой багаж в шкаф, но он не поместился, потому что _ был слишком узким.", шкаф, багаж
pr_ru_000440,"Он повесил инструменты на стойку, а не на стену, потому что _ была устойчивой.", стойка, стена
pr_ru_000504,"Женщина попыталась уложить фен в чемодан, но _ оказался слишком большим.", фен, чемодан
pr_ru_000524,"Джен пыталась не отвлекаться, убираясь со стола и убирая телефон, но _ был слишком громким, чтобы игнорировать его.", стол, телефон
pr_ru_000528,"Ему нравилось наносить гель на волосы больше, чем спрей, потому что _ заставлял его чувствовать себя занудным.", спрей, гель
pr_ru_000529,"Утром он мочится из мочевого пузыря в унитаз, пока _ не опустеет.", унитаз, пузырь
pr_ru_000546,"Людям больше нравится бетон на главной улице, чем камень в переулке, потому что _ крошится.", бетон, камень
pr_ru_000555,"Она хотела пойти на рыбалку, но ее удочка была сломана, но ей подарили приманку, так что _ была старой.", приманка, удочка
pr_ru_000558,"Женщина была рада, что смогла вернуть тушь и обменять ее на подводку для глаз, ведь _ была отличного качества.", тушь, подводка
pr_ru_000597,"Мужчина решил арендовать дом вместо трейлера, потому что _ был более просторным.", дом, трейлер
pr_ru_000600,"Чтобы волосы выглядели естественно, парикмахер рекомендовал гель поверх мусса, потому что _ был менее заметным.", мусс, гель
