item_id,sentence,option_a,option_b
pr_ru_000001,"В шкафу было больше папок, чем на столе, потому что _ был больше.", шкаф, стол
pr_ru_000003,"Сергей оценил замысловатый дизайн и решил оставить картину вместо скульптуры, потому что _ была интересной.", скульптура, картина
pr_ru_000004,"Сергей оценил замысловатый дизайн и решил оставить картину вместо скульптуры, потому что _ была тусклой.", скульптура, картина
pr_ru_000006,"Класс физики Эдит был перенесен из класса в театр, потому что _ был недоступен.", класс, театр
pr_ru_000008,"Джон подозревает, что в чае нет сахара, но он есть в кофе, потому что _ горький.", чай, кофе
pr_ru_000009,"Барб хотела устроить вечеринку в загородном клубе, а не в общественном центре, потому что _ был частным.", клуб, центр
pr_ru_000010,"Барб хотела устроить вечеринку в загородном клубе, а не в общественном центре, потому что _ был публичным.", центр, клуб
pr_ru_000011,"Проблема на конференции не могла быть точно определена, потому что _ была сложной.", проблема, конференция
pr_ru_000012,"Проблема на конференции не могла быть точно определена, потому что _ была простой.", конференция, проблема
pr_ru_000013,"Перси едет в парк на велосипеде, а не на поезде, потому что _ добирается до него медленнее.", поезд, велосипед
pr_ru_000016,"Серебро было дешевле золота, потому что _ было из обычной лавки.", серебро, золото
pr_ru_000017,"Мальчик хотел положить игру в коробку, но _ оказалась слишком маленькой.", коробка, игра
pr_ru_000018,"Мальчик хотел положить игру в коробку, но _ оказалась слишком большой.", игра, коробка
pr_ru_000019,"Они принимали лекарство у источника, а не у ручья, поскольку _ был более паллиативным для их состояния.", ручей, источник
pr_ru_000020,"Они принимали лекарство у источника, а не у ручья, так как _ был более разрушительным для их состояния.", ручей, источник
pr_ru_000021,"По моему мнению, вам следует взять словарь вместо атласа, потому что _ более полезен.", атлас, словарь
pr_ru_000022,"По моему мнению, вам следует взять словарь вместо атласа, потому что _ менее полезен.", словарь, атлас
pr_ru_000023,"Процедура была более опасной, чем операция, потому что _ длилась очень долго.", процедура, операция
pr_ru_000025,"Я всегда использовал улицу рядом с моим домом, а не дорогу, потому что _ всегда была чище.", улица, дорога
pr_ru_000026,"Я всегда использовал улицу рядом с моим домом, а не дорогу, потому что _ всегда была более загруженной.", дорога, улица
pr_ru_000027,"Банк упал на стол и сломал стол, потому что _ силен.", стол, банк
pr_ru_000028,"Банк упал на стол, и он сломался, потому что _ слабый.", стол, банк
pr_ru_000029,"Сьюзан решила сесть в самолет вместо поезда, чтобы отправиться в Майами, потому что _ летит быстро.", поезд, самолет
pr_ru_000030,"Сьюзан решила сесть в самолет вместо поезда, чтобы ехать в Майами, потому что _ идет медленно.", самолет, поезд
pr_ru_000032,"Чтобы правильно установить раму, мы выбросили отвертку и использовали дрель, так как _ очень пригодилась для этой задачи.", дрель, отвертка
pr_ru_000033,"Два мальчика спланировали игру, а затем пошли рисовать ее на бумаге, но быстро поняли, что _ слишком сложна.", бумага, игра
pr_ru_000034,"Два мальчика спланировали игру, а затем пошли рисовать ее на бумаге, но быстро поняли, что _ слишком мала.", бумага, игра
pr_ru_000035,"Когда я увидел его в маске, я испытал больше эмоций, чем когда он был в шляпе, потому что _ была очень страшной.", шляпа, маска
pr_ru_000036,"Когда я увидел его в маске, я испытал больше эмоций, чем когда он был в шляпе, потому что _ была совершенно нормальной.", маска, шляпа
pr_ru_000037,"Мальчик плакал, чтобы передать сумку в руке старшему брату и забрать коробку, потому что _ тяжелая.", сумка, коробка
pr_ru_000038,"Мальчик плакал, чтобы передать сумку в руке старшему брату и забрать коробку, потому что _ легкая.", коробка, сумка
pr_ru_000039,"Человек использовал веревку вместо лозы, чтобы выжить, потому что _ была слабой.", лоза, веревка
pr_ru_000041,"Пистолет был тише при стрельбе, чем дробовик, потому что _ был более мощным.", пистолет, дробовик
pr_ru_000042,"Пистолет был громче дробовика при выстреле, потому что _ был более мощным.", пистолет, дробовик
pr_ru_000043,"Они использовали коробку вместо ловушки, чтобы поймать мышь, потому что _ была более гуманной.", коробка, ловушка
pr_ru_000045,"В семейном рецепте шоколада нужно было удалить корень и коричневый сахар, потому что _ был слишком горьким.", корень, сахар
pr_ru_000046,"В семейном рецепте шоколада нужно было удалить корень и коричневый сахар, потому что _ был слишком сладким.", корень, сахар
pr_ru_000047,"Джим лучше подготовился к свадьбе, чем к вечеринке, потому что _ была более формальной.", вечеринка, свадьба
pr_ru_000048,"Джим лучше подготовился к свадьбе, чем к вечеринке, потому что _ была более непринужденной.", свадьба, вечеринка
pr_ru_000049,"Маффин был менее вкусным, чем торт, потому что _ был приготовлен начинающим пекарем.", торт, маффин
pr_ru_000050,"Маффин получился менее вкусным, чем торт, потому что _ был приготовлен профессиональным пекарем.", маффин, торт
pr_ru_000051,"Мы смогли настроить гитару, но не скрипку, поскольку _ была изменяемой.", скрипка, гитара
pr_ru_000053,"Птичья клетка не могла вместить еще одну забавную игрушку для птицы, потому что _ была крошечной.", игрушка, клетка
pr_ru_000054,"Птичья клетка не могла вместить еще одну забавную игрушку для птицы, потому что _ была огромной.", клетка, игрушка
pr_ru_000056,"Клей пролился на шелк, поэтому Рикли надел бархат, потому что _ был мягким.", шелк, бархат
pr_ru_000057,"В воскресенье Лерой начал наливать апельсиновый сок из бочки в фляжку, но _ оказалась слишком маленькой, чтобы в нее поместиться.", фляга, бочка
pr_ru_000058,"В воскресенье Лерой начал наливать апельсиновый сок из бочки в фляжку, но _ оказалась слишком большой.", бочка, фляга
pr_ru_000059,"Аманда использовала пищевую соду вместо зубной пасты, чтобы чистить зубы, потому что _ отбеливала их лучше.", паста, сода
pr_ru_000060,"Аманда использовала пищевую соду вместо зубной пасты, чтобы чистить зубы, потому что _ не отбеливала их.", сода, паста
pr_ru_000061,"В зеленый чай, который приготовил Мэтт, было добавлено немного сахара, потому что _ неприятный на вкус.", сахар, чай
pr_ru_000063,"Лиз хотела новую кровать для своей комнаты, но не могла получить ту, которая ей нравилась, потому что _ была слишком большой.", кровать, комната
pr_ru_000064,"Лиз хотела новую кровать для своей комнаты, но не могла получить ту, которая ей нравилась, потому что _ была слишком маленькой.", комната, кровать
pr_ru_000067,"Коричневая кожаная перчатка болталась на ее руке, потому что _ была слишком большой.", рука, перчатка
pr_ru_000068,"Коричневая кожаная перчатка болталась на ее руке, потому что _ была слишком маленькой.", перчатка, рука
