item_id,answer,confidence
pr_fr_000088,B,4
pr_fr_000124,B,5
pr_fr_000141,A,5
pr_fr_000142,B,4
pr_fr_000292,A,5
pr_fr_000503,A,4
pr_fr_000504,A,5
pr_fr_000581,B,4
pr_fr_000582,B,4
pr_fr_000621,A,5
pr_fr_000703,A,5
pr_fr_000731,B,5
pr_fr_000804,A,5
pr_fr_000845,B,4
pr_fr_000864,A,5
pr_fr_001006,A,5
pr_fr_001007,B,5
pr_fr_001054,B,3
pr_fr_001061,A,4
pr_fr_001081,A,4
pr_fr_001095,A,5
pr_fr_001243,A,4
pr_fr_001330,A,4
pr_fr_001498,B,5
pr_fr_001499,A,5
pr_fr_001562,B,5
pr_fr_001563,B,5
pr_fr_001676,A,4
pr_fr_001677,B,5
pr_fr_001708,A,5
pr_fr_001709,A,5
pr_fr_001811,B,5
pr_fr_001824,B,5
pr_fr_001825,B,5
pr_fr_001851,B,5
pr_fr_001881,B,4
pr_fr_001896,A,5
pr_fr_001897,B,5
pr_fr_002127,B,4
pr_fr_002214,A,5
pr_fr_002320,A,5
pr_fr_002321,B,5
pr_fr_002492,A,3
pr_fr_002556,A,5
pr_fr_002557,A,2
pr_fr_002646,B,5
pr_fr_002647,B,5
pr_fr_002663,B,5
pr_fr_002700,A,4
pr_fr_002780,B,5
pr_fr_000103,A,4
pr_fr_000247,B,4
pr_fr_000255,B,4
pr_fr_000269,B,3
pr_fr_000485,B,4
pr_fr_000526,B,5
pr_fr_000710,B,5
pr_fr_000909,B,4
pr_fr_000933,A,5
pr_fr_000982,B,5
pr_fr_000995,A,3
pr_fr_001400,B,3
pr_fr_001642,A,4
pr_fr_001670,B,5
pr_fr_001882,A,4
pr_fr_001901,A,4
pr_fr_001907,A,4
pr_fr_002611,B,5
pr_fr_002723,A,5
