item_id,premise,hypothesis
ps_hi_000034,जो लड़की मेरी मदद कर सकती है वह पूरे शहर भर में है।,जिस लड़की को मुझे जिंदगी से मदद मिलती है।
ps_hi_000162,"उसने वह नफरत किया, और वह हर दिन अपनी बहन को बताने के लिए कहती थी, उसने कहा, कि आप गलत कर रहे हैं।",वह अपनी बहन की बहुत आलोचनात्मक थी।
ps_hi_000297,"और, उह, परन्तु, उह, मैं सोचूंगा, रात में मैं सो नहीं पाऊंगा.",मैं रात में एक बच्चे की तरह सोता हूँ!
ps_hi_000322,तो फिर मैं देखती हूँ और पता लगाती हूँ कि रामोना कहाँ बैठी थी और मैंने उसको वहाँ बुला लिया।,Maine Ramona ko apne ghar bulaya hai
ps_hi_000379,"उह, मैंने अपना बहुत समय बिताया, उह, विशेष गतिविधियां",मैं हर दूसरे दिन विशेष गतिविधियों में था।
ps_hi_000494,वह मेरे पिताजी होने के लिए काफी बुजुर्ग है।,वह मुझसे बहुत छोटा है।
ps_hi_000623,नहीं मैं कैंपस के बाहर रहता हुँ,मैं कैंपस से कुछ ब्लॉक दूर रहता हूं।
ps_hi_000678,"वॉशिंगटन के बीच बहुत ज्यादा चल रहा है, वे अपराजित नहीं हैं और बफेलो न्यू ऑरलियन्स और शिकागो क्योंकि शिकागो की केवल दो बार हार हुई है और इनमें से एक बफ़ेलो कि",Washington apne saare khel hara hai
ps_hi_000745,प्लानो टेक्सास मे क्या चल रहा है आज ब्रायन,आप कैसी हैं मेरी?
ps_hi_000763,शायद यह अधिक है क्योंकि मैं सिर्फ कवरेज का आनंद लेता हूं क्योंकि तुम्हें पता है कि मेरे पास पेपर पढ़ने का समय नहीं होता है,"मुझे यह क्षेत्र पसंद है, क्योंकि मेरे पास बैठने और पत्र पढ़ने का समय नहीं है।"
ps_hi_000778,"और उह्। उसने खींचा, उसने इसे बाहर निकाल दिया, वह उह्, शायद वह उह्, पंचान्नब्बे प्रतिशत स्वयं कि ।",वो खुद सा महसूस करने लगा है जबसे उस सोच ने बाहर निकला है
ps_hi_000866,"और उह , मुझे लगता है कि हम लम्बे समय के लिए वेतन और पहचान में उनके बराबर उह होने जा रहे हैं",आखिरकार इस स्थिति के विकल्प के मुकाबले ज्यादा बेहतर वेतन विकल्प होना चाहिए।
ps_hi_000897,और आओ देखें बीस साल पहले मैं अनुमान लगाता हूँ कि हम जिसे वह कहते थे यौन क्रान्ति की शुरुआत कर रहे थे जहाँ गोली के बाद,अभी तक सेक्स क्रांति नहीं हुई है.
ps_hi_000909,"उसके बारेमा मैने इसी साल सुना है, मेरा प्रेमी कन्ट्री सङ्गीत पसंद करता है और वो वही सुन रहा था और वो",मेरा प्रेमी संगीत सुनता है ।
ps_hi_000987,शायद मुझे ऐसा लगता है कि मैं पैसे दे रहा हूं क्योंकि जब भी मैं अपने दिमाग वाले वाहन में जाता हूं तो मैं बिल के साथ कुछ ना कुछ पैसे देता ही हूं,स्वास्थ्य सेवा प्राप्त करने के बिल की राशि हमेशा बहुत अधिक होती है।
ps_hi_000999,"haa ,haal hi main, mera aadhe-raste camping anubhav se shh... mera pati car racing karta hai.",शिविर से संबंधित मेरा एकमात्र संबंधित अनुभव कार रेसिंग है जो मेरे पति करते हैं।
ps_hi_001028,[यह राष्ट्र था] आजादी में कल्पना की गई और प्रस्ताव के लिए समर्पित है कि सभी पुरुषों को समान बनाया गया है |,कुछ लोगों का ये मानना था के सभी लोग एक समान होते हैं
ps_hi_001072,"Quinceaeeras पर ज्यादातर शोध से पता चलता है कि परिवार एक सांस्कृतिक ऐतिहासिक परंपरा को बनाए रखना चाहते हैं, और एक बेटी के पंद्रहवें जन्मदिन का उत्सव लतिनो विरासत के लिए सतत सांस्कृतिक संबंधों का एक माध्यम है।",बेटी का दसवां जन्मदिन  निरंतर सांस्कृतिक संबंधों का तात्पर्य है।
ps_hi_001097,"जैसा कि पिछले अध्याय में बताया गया है, आसन्न संभव में प्रवेश में कुछ परस्पर क्रियाएं होनी चाहिए जो खोज को रास्ता दिखाए इस कदर कि प्राकृतिक चयन की क्षमता हारे लोगों को तराशने में लगे ।",कोई interplay  नहीं है।
ps_hi_001109,"डेनेट जीव-जंतुओं का भेद डार्विन के जीव-जंतु, पेवलोव के जीव-जंतु, पोपर के जीव-जंतु, और ग्रेगरी के जीव-जंतु के रूप में करते  हैं","डेनेट ने डार्विनियन, पावलोवियन, पोपरियन और ग्रेगोरियन प्राणियों के बीच मतभेदों को समझ लिया।"
ps_hi_001161,सोर्ड ने मेरीडिथ की सामान्य फैशन में पिटाई करते हुए बच्चे की कलाई महसूस की।,"सोनजा, जो एक बुजुर्ग महिला थी, उदास दिखाई दी लेकिन मेरिडिथ के वक़्त उसने हिम्मत बरकरार रखी."
ps_hi_001183,"चंद  भिन्न किस्सों में, खास तौर पर  कोई युवा लडकी जिद करके गुड फ्राईडे के दिन नृत्य कार्यक्रम में जाकर धार्मिक मान्यताओं का उल्लंघन करती है, जब कि चिकानो केथोलिक परिवारों में गुड फ्राईडे एक धार्मिक पवित्र दिन और प्रार्थना का श्रद्धेय दिन है।",लड़की गुड फ्राइडे पर नाचना चाहती थी|
ps_hi_001253,संघ के कानूनी दर्शन ने पदार्थों तथा शैली दोनों में विजय प्राप्त की।,कानूनी दर्शन हार गया था।
ps_hi_001255,"यह, दो संस्कृतियाँ अथवा दो राष्ट्रों के बीच की स्थिति नहीं थी, परंतु विशेष रुप से संस्कृतियों के बीच की स्थिति थी - अंतरिक्ष में लटकती हुई स्थिति।",यह सार्वजनिक ज्ञान है कि यह केवल एक संस्कृति थी।
ps_hi_001294,"उसने अंततः एक मठ, एक गैलरी, और एक टावर जोड लिया।",उसने तीन चीज़ें जोड़ीं.
ps_hi_001413,"घोषणा में मनाया जाने वाले आनंद की प्राकृतिकता, कानून की परिभाषा के प्रख्यात प्राणी 'प्रॉपर्टी' को राह दिखाती है |",घोषणापत्र का कहना है कि आपको धन का पीछा करना चाहिए।
ps_hi_001456,"उदाहरण के लिए,  इरेल (क्या हो रहा है, या ओ.के.) इस तरह के शब्द है।","एरेल का मतलब, थोड़ा बहुत ठीक है, यह हो सकता है |"
